symbol,datetime,open,high,low,close,dsa_pivot_pos_01,signed_vwap_dev_pct,rope_dir,bars_since_dir_change,rope_slope_atr_5,bb_pos_01,bb_width_percentile,w_DSA_DIR,w_dsa_pivot_pos_01,w_signed_vwap_dev_pct,ret_20,ret_40,ret_60,max_dd_20,max_dd_40,max_dd_60,win_20,win_40,win_60,rr_20,rr_40,rr_60,strategy
002309.SZ,2022-10-25 07:00:00,4.68,4.78,4.57,4.76,0.28358208955223807,-8.159525335630432,1.0,0.0,,,,1.0,0.3968253968253969,4.921142504030584,-0.018907563025210055,-0.04621848739495793,-0.09873949579831928,-0.07352941176470582,-0.07352941176470582,-0.2121848739495798,0.0,0.0,0.0,-0.257142857142857,-0.6285714285714284,-0.4653465346534652,C1_纯低位反转
605255.SH,2022-11-14 07:00:00,17.32,17.54,17.01,17.35,0.18579234972677605,-7.43454819377471,1.0,0.0,,,,1.0,0.1693989071038246,1.1448941182960777,-0.010951008645533214,-0.13602305475504328,-0.06858789625360237,-0.048991354466858865,-0.21210374639769458,-0.21210374639769458,0.0,0.0,0.0,-0.223529411764707,-0.641304347826087,-0.3233695652173915,C1_纯低位反转
688115.SH,2022-12-01 07:00:00,44.89,45.48,44.59,44.65,0.11271676300578048,-4.4832767215908955,1.0,0.0,,,,,,,-0.13079507278835378,-0.007838745800671924,-0.07995520716685331,-0.14423292273236277,-0.14423292273236277,-0.14423292273236277,0.0,0.0,0.0,-0.9068322981366458,-0.05434782608695676,-0.5543478260869568,C1_纯低位反转
000790.SZ,2022-12-02 07:00:00,5.03,5.08,4.97,5.04,0.2,-3.8311289279900858,1.0,0.0,,,,,,,-0.09722222222222227,-0.0555555555555556,-0.011904761904761828,-0.10912698412698409,-0.10912698412698409,-0.12896825396825404,0.0,0.0,0.0,-0.8909090909090916,-0.5090909090909097,-0.09230769230769166,C1_纯低位反转
002146.SZ,2022-12-02 07:00:00,2.49,2.53,2.42,2.5,0.23529411764705913,-8.94981613066412,1.0,0.0,,,,,,,-0.13200000000000003,-0.15999999999999998,-0.11600000000000002,-0.13599999999999995,-0.17200000000000007,-0.17200000000000007,0.0,0.0,0.0,-0.9705882352941182,-0.9302325581395343,-0.6744186046511627,C1_纯低位反转
688139.SH,2022-12-02 07:00:00,67.2,68.0,66.5,67.02,0.14285714285714174,-4.044873314518883,1.0,0.0,,,,,,,-0.055505819158460146,0.05326768128916753,0.08027454491196673,-0.10340196956132487,-0.10340196956132487,-0.10340196956132487,0.0,1.0,1.0,-0.5367965367965372,0.5151515151515168,0.7763347763347785,C1_纯低位反转
002644.SZ,2022-12-05 07:00:00,11.53,11.72,11.2,11.53,0.14601769911504417,-4.917143500348403,1.0,0.0,,,,-1.0,0.07407407407407414,-5.080066261733833,-0.1717259323503902,-0.15437987857762353,-0.0719861231569818,-0.19340849956634856,-0.21162185602775366,-0.21162185602775366,0.0,0.0,0.0,-0.8878923766816142,-0.7295081967213113,-0.3401639344262296,C1_纯低位反转
601615.SH,2022-12-06 07:00:00,26.36,26.98,26.22,26.54,0.2634730538922145,-2.790804663504108,1.0,0.0,,,,-1.0,0.03199999999999932,-1.4471243042671635,-0.009796533534287792,0.0022607385079126707,-0.07385079125847781,-0.1081386586284852,-0.1081386586284852,-0.1081386586284852,0.0,1.0,0.0,-0.09059233449477291,0.02090592334494855,-0.6829268292682936,C1_纯低位反转
002155.SZ,2022-12-07 07:00:00,13.71,13.98,13.65,13.72,0.05960264900662243,-8.725221352049399,1.0,0.0,,,,-1.0,0.1858407079646024,-1.6370763200368776,-0.01603498542274057,0.2543731778425656,0.21282798833819241,-0.11443148688046649,-0.11443148688046649,-0.11443148688046649,0.0,1.0,1.0,-0.14012738853503223,2.2229299363057318,1.8598726114649677,C1_纯低位反转
002235.SZ,2022-12-07 07:00:00,5.45,5.6,5.32,5.55,0.29487179487179455,-1.937471276377203,1.0,0.0,,,,,,,0.7153153153153153,0.6486486486486488,0.6486486486486488,-0.12072072072072071,-0.12072072072072071,-0.12072072072072071,1.0,1.0,1.0,5.925373134328359,5.373134328358211,5.373134328358211,C1_纯低位反转
600803.SH,2022-12-08 07:00:00,17.63,17.88,17.54,17.73,0.23255813953488305,-1.839694739070023,1.0,0.0,,,,,,,-0.0524534686971235,0.03271291596164683,0.05470953186689221,-0.1263395375070502,-0.1263395375070502,-0.1263395375070502,0.0,1.0,1.0,-0.41517857142857123,0.2589285714285706,0.43303571428571375,C1_纯低位反转
000045.SZ,2022-12-09 07:00:00,9.9,10.13,9.85,10.13,0.09621993127147804,-19.516406670830165,1.0,0.0,,,,-1.0,0.64453125,3.4667785929017065,0.11056268509378077,0.08292201382033562,0.07502467917077983,-0.04540967423494579,-0.04540967423494579,-0.04540967423494579,1.0,1.0,1.0,2.434782608695646,1.8260869565217355,1.6521739130434745,C1_纯低位反转
002123.SZ,2022-12-09 07:00:00,11.33,11.43,11.09,11.38,0.2815533980582535,-5.57719411813291,1.0,0.0,,,,-1.0,0.6631578947368415,0.8849557522123754,0.10984182776801406,0.29261862917398945,0.2486818980667838,-0.1036906854130054,-0.1036906854130054,-0.1036906854130054,1.0,1.0,1.0,1.0593220338983038,2.8220338983050812,2.3983050847457594,C1_纯低位反转
601088.SH,2022-12-09 07:00:00,29.05,29.2,28.93,29.11,0.1173708920187794,-5.275941550200233,1.0,0.0,,,,-1.0,0.07514450867051979,-1.6398929049531406,-0.04843696324287187,-0.05771212641703881,-0.003091721058055646,-0.06526966678117481,-0.06526966678117481,-0.08072827207145304,0.0,0.0,0.0,-0.7421052631578953,-0.8842105263157899,-0.038297872340425504,C1_纯低位反转
603058.SH,2022-12-09 07:00:00,7.83,7.86,7.74,7.84,0.2499999999999989,-3.2440055297381405,1.0,0.0,,,,-1.0,0.8378378378378369,1.0421008753647316,-0.021683673469387748,0.0714285714285715,0.09056122448979603,-0.0880102040816326,-0.0880102040816326,-0.0880102040816326,0.0,1.0,1.0,-0.24637681159420297,0.811594202898552,1.0289855072463787,C1_纯低位反转
600459.SH,2022-12-12 07:00:00,15.13,15.55,15.13,15.34,0.29268292682926844,-5.136354722161753,1.0,0.0,,,,-1.0,0.1402439024390246,-2.5403659849300504,0.029335071707953016,0.09713168187744449,0.05084745762711872,-0.11212516297262064,-0.11212516297262064,-0.11212516297262064,1.0,1.0,1.0,0.26162790697674365,0.8662790697674407,0.45348837209302373,C1_纯低位反转
000612.SZ,2022-12-13 07:00:00,5.5,5.65,5.49,5.56,0.17948717948717807,-4.955834680242496,1.0,0.0,,,,1.0,0.7368421052631587,4.7479268499159994,-0.03597122302158261,0.04676258992805768,0.0,-0.07553956834532373,-0.07553956834532373,-0.07553956834532373,0.0,1.0,0.0,-0.4761904761904746,0.6190476190476208,0.0,C1_纯低位反转
000637.SZ,2022-12-13 07:00:00,4.77,4.88,4.75,4.81,0.27586206896551524,-1.2499585170206013,1.0,0.0,,,,-1.0,0.33333333333333054,-0.4787961696306449,0.39916839916839936,0.1205821205821206,0.05613305613305623,-0.022869022869022752,-0.022869022869022752,-0.022869022869022752,1.0,1.0,1.0,17.454545454545553,5.272727272727301,2.4545454545454715,C1_纯低位反转
