variant,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
W3_wdir_up,19,19,0.02143,-0.05395,0.6316,0.397,0.02633,-0.08008,0.5789,0.329
W1_wpos_lt_0.7,64,64,0.00701,-0.07838,0.5312,0.089,0.011,-0.10972,0.4844,0.1
W5_wdev_le_0,55,55,0.00564,-0.07937,0.5273,0.071,0.00901,-0.11116,0.4727,0.081
W2_wpos_le_0.4,53,53,-0.00204,-0.08741,0.5094,-0.023,0.00937,-0.11853,0.4717,0.079
Base,76,76,0.00405,-0.08387,0.5132,0.048,0.00749,-0.11286,0.4605,0.066
