scenario,n,coverage_pct,ret5,dd5,wr5,rr5,ret10,dd10,wr10,rr10,ret20,dd20,wr20,rr20,ret60,dd60,wr60,rr60
S9_DSA低位+Rope向上,446,32.4,0.0111,-0.03638,0.4978,0.305,0.01387,-0.05091,0.5359,0.272,0.01798,-0.07318,0.5336,0.246,0.04621,-0.12492,0.5224,0.37
S7_Rope动量启动,1089,79.1,0.00324,-0.04694,0.4564,0.069,0.00298,-0.06451,0.45,0.046,0.00547,-0.09063,0.4582,0.06,0.01987,-0.14749,0.4435,0.135
S4_BB_Squeeze突破,96,7.0,0.00244,-0.04138,0.4271,0.059,-0.00251,-0.05435,0.4375,-0.046,0.00037,-0.07995,0.4688,0.005,0.06298,-0.12941,0.4792,0.487
S2_盘整突破,688,50.0,-0.00368,-0.05364,0.4128,-0.069,-0.00781,-0.07431,0.3983,-0.105,-0.00455,-0.10179,0.423,-0.045,0.00764,-0.15474,0.4201,0.049
