symbol,datetime,open,high,low,close,dsa_pivot_pos_01,signed_vwap_dev_pct,rope_dir,bars_since_dir_change,range_break_up,range_break_up_strength,dist_to_rope_atr,trigger_break_up,trigger_break_up_strong,trigger_above_rope,trigger_depart_from_rope,near_rope_ratio_5_loose,near_rope_streak_loose,coil_loose,not_too_high,bb_pos_01,bb_width_percentile,hit20_10,hit20_15,hit40_20,ret_5,ret_10,ret_20,ret_40,ret_60,max_dd_5,max_dd_10,max_dd_20,max_dd_40,max_dd_60,win_5,win_10,win_20,win_40,win_60,enhancement,variant_name
002160.SZ,2021-04-21 07:00:00,4.15,4.28,4.08,4.21,0.19999999999999973,-10.489300535415822,1.0,0.0,0.0,,,0,0,0,0,,0.0,0,0,,,0.0,0.0,0.0,0.0023752969121139636,0.17339667458432315,0.019002375296912132,-0.04275534441805219,0.045130641330166366,-0.03087885985748216,-0.03087885985748216,-0.03087885985748216,-0.10451306413301661,-0.10451306413301661,1.0,1.0,1.0,0.0,1.0,base,C2_base
300839.SZ,2021-04-22 07:00:00,23.7,24.09,23.58,23.95,0.31060606060606066,-3.3836802045909353,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,0.0,0.0,0.0,-0.10605427974947805,-0.11315240083507311,-0.12233820459290187,-0.05427974947807936,-0.34488517745302716,-0.10647181628392488,-0.13987473903966588,-0.1440501043841336,-0.14864300626304797,-0.3862212943632568,0.0,0.0,0.0,0.0,0.0,base,C2_base
300684.SZ,2021-04-28 07:00:00,19.77,20.05,19.56,19.92,0.2187500000000007,-5.379678228839725,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,0.0,0.0,0.0,-0.05371485943775101,-0.02208835341365468,0.010542168674698659,0.10090361445783122,-0.05773092369477922,-0.05622489959839362,-0.06626506024096386,-0.06626506024096386,-0.06626506024096386,-0.06626506024096386,0.0,0.0,1.0,1.0,0.0,base,C2_base
300937.SZ,2021-04-28 07:00:00,59.12,61.2,57.5,59.88,0.30512820512820554,-5.859008351334916,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,0.0,0.0,0.0,-0.10855043420173681,0.0858383433533733,-0.008851035404141635,-0.10821643286573153,-0.20891783567134276,-0.13493653974615907,-0.13493653974615907,-0.13493653974615907,-0.13493653974615907,-0.24866399465597863,0.0,1.0,0.0,0.0,0.0,base,C2_base
601330.SH,2021-04-28 07:00:00,8.5,8.61,8.44,8.6,0.34482758620689563,-4.243892495449268,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.00697674418604657,0.10348837209302332,0.05697674418604654,0.029069767441860465,-0.03372093023255804,-0.012790697674418539,-0.012790697674418539,-0.012790697674418539,-0.020930232558139503,-0.03488372093023243,1.0,1.0,1.0,1.0,0.0,base,C2_base
603659.SH,2021-04-28 07:00:00,77.52,79.85,75.28,78.5,0.12254160363086232,-24.543941698799262,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,1.0,1.0,1.0,0.01783439490445867,0.01719745222929929,0.32254777070063684,0.653503184713376,0.744968152866242,-0.023949044585987202,-0.045222929936305695,-0.045222929936305695,-0.045222929936305695,-0.045222929936305695,1.0,1.0,1.0,1.0,1.0,base,C2_base
300514.SZ,2021-04-29 07:00:00,8.26,8.47,8.21,8.29,0.13461538461538355,-7.634894978749632,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,1.0,0.0,1.0,-0.008443908323280883,0.001206272617611769,0.11821471652593492,0.37997587454764786,0.11218335343787715,-0.05307599517490948,-0.05307599517490948,-0.05307599517490948,-0.05307599517490948,-0.05307599517490948,0.0,1.0,1.0,1.0,1.0,base,C2_base
600692.SH,2021-04-29 07:00:00,6.52,6.64,6.44,6.6,0.13445378151260448,-10.462345807145303,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,0.0,0.0,0.0,-0.018181818181818063,-0.021212121212121165,-0.040909090909090846,-0.10151515151515152,-0.15909090909090906,-0.03787878787878788,-0.03787878787878788,-0.0666666666666666,-0.10909090909090906,-0.16666666666666663,0.0,0.0,0.0,0.0,0.0,base,C2_base
600988.SH,2021-04-29 07:00:00,15.5,15.56,15.28,15.37,0.16279069767441834,-7.568361524557482,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,1.0,1.0,0.0,0.1886792452830189,0.2166558230318803,0.2205595315549774,-0.024723487312947236,-0.04554326610279762,-0.025374105400130045,-0.025374105400130045,-0.025374105400130045,-0.04229017566688345,-0.061808718282368204,1.0,1.0,1.0,0.0,0.0,base,C2_base
603976.SH,2021-05-10 07:00:00,45.85,46.7,45.04,45.25,0.07185628742514986,-1.268643944163065,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.08309392265193366,0.01900552486187844,-0.09613259668508291,-0.196243093922652,-0.1020994475138121,-0.055911602209944775,-0.055911602209944775,-0.13524861878453032,-0.20441988950276244,-0.35314917127071827,1.0,1.0,0.0,0.0,0.0,base,C2_base
