variant,event_n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,hit20_10,hit20_15,hit40_20
D_breakout_strength_release,10,0.01504,-0.09818,0.4,0.153,0.0278,-0.12337,0.4,0.225,0.3,0.2,0.2
A_loose_background,92,-0.0025,-0.08539,0.4348,-0.029,-8e-05,-0.12964,0.4239,-0.001,0.1848,0.087,0.1196
C_first_release,34,0.01041,-0.076,0.5,0.137,0.04069,-0.10132,0.5294,0.402,0.2059,0.0588,0.1176
B_relaxed_main,54,-9e-05,-0.09678,0.5,-0.001,0.01291,-0.11877,0.5,0.109,0.2037,0.0926,0.1111
