variant,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
S0_no_filter,1146,1146,0.03332,-0.06563,0.63,0.508,0.07531,-0.07827,0.7138,0.962
S6_bbwidth_lt_0.8_and_bbpos_lt_0.8,107,107,0.02633,-0.05806,0.5888,0.453,0.03303,-0.08399,0.514,0.393
S5_bbwidth_lt_0.8_and_slope_gt_0,260,260,0.01934,-0.0678,0.5308,0.285,0.03181,-0.0981,0.5,0.324
S3_bbpos_lt_0.8,143,143,0.04295,-0.05694,0.6224,0.754,0.02977,-0.09232,0.4825,0.322
S1_bbwidth_lt_0.8,274,274,0.01812,-0.06928,0.5292,0.262,0.03003,-0.09954,0.5,0.302
S4_rope_slope_gt_0,295,295,0.0264,-0.06635,0.5525,0.398,0.02945,-0.10078,0.4881,0.292
S2_bbwidth_le_0.5,189,189,0.02099,-0.06903,0.5503,0.304,0.02673,-0.09848,0.5079,0.271
