rank_method,max_signals_per_day,event_n_before,event_n_after,ret_20_after,mae_20_after,wr_20_after,rr_20_after,ret_40_after,mae_40_after,wr_40_after,rr_40_after
no_limit,5,1146,1146,0.03332,-0.06563,0.63,0.508,0.07531,-0.07827,0.7138,0.962
score_3f,5,1146,454,0.01942,-0.0763,0.5066,0.255,0.03973,-0.10532,0.522,0.377
dsa_pivot_pos_01,5,1146,454,0.01989,-0.07593,0.5088,0.262,0.03756,-0.10495,0.5242,0.358
score_2f,5,1146,454,0.01989,-0.07593,0.5088,0.262,0.03756,-0.10495,0.5242,0.358
bars_since_dir_change,5,1146,454,0.0192,-0.07459,0.511,0.257,0.03234,-0.10356,0.5264,0.312
signed_vwap_dev_pct,5,1146,454,0.01291,-0.07938,0.4846,0.163,0.03141,-0.10887,0.5022,0.288
