dsa_thr,bars_thr,vwap_thr,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,ret_60,mae_60,wr_60,rr_60
0.35,3,-3.0,1080,1080,0.03905,-0.06167,0.6537,0.633,0.08091,-0.07535,0.7194,1.074,0.07728,-0.09115,0.6185,0.848
0.3,5,-3.0,1106,1106,0.03814,-0.06116,0.651,0.624,0.07628,-0.07745,0.7116,0.985,0.06808,-0.09596,0.6166,0.709
0.25,3,-3.0,954,954,0.03834,-0.06177,0.652,0.621,0.07604,-0.07796,0.6971,0.975,0.07318,-0.09686,0.6122,0.756
0.35,5,-3.0,1228,1228,0.0381,-0.06309,0.6376,0.604,0.0769,-0.08001,0.6979,0.961,0.07766,-0.09625,0.6205,0.807
0.25,5,-3.0,1000,1000,0.0374,-0.06216,0.645,0.602,0.07311,-0.07925,0.686,0.923,0.06996,-0.09839,0.606,0.711
0.3,3,-3.0,1017,1017,0.03711,-0.06192,0.6509,0.599,0.0757,-0.07677,0.7129,0.986,0.06869,-0.09467,0.6106,0.726
0.4,3,-3.0,1168,1168,0.03768,-0.063,0.649,0.598,0.0806,-0.0763,0.72,1.056,0.0761,-0.09045,0.6199,0.841
0.25,8,-3.0,1067,1067,0.03696,-0.06189,0.6476,0.597,0.07082,-0.08038,0.6804,0.881,0.06713,-0.10031,0.597,0.669
0.25,3,-2.0,969,969,0.03683,-0.06231,0.646,0.591,0.07515,-0.07805,0.7007,0.963,0.0694,-0.09722,0.6058,0.714
0.25,5,-1.0,1052,1052,0.03717,-0.06303,0.6397,0.59,0.07812,-0.07945,0.6977,0.983,0.07651,-0.09795,0.6036,0.781
0.25,3,-1.0,982,982,0.03701,-0.06319,0.6415,0.586,0.08078,-0.07841,0.7088,1.03,0.0752,-0.09686,0.6069,0.776
0.3,5,-2.0,1144,1144,0.03654,-0.06245,0.6434,0.585,0.07505,-0.07867,0.7194,0.954,0.07097,-0.09678,0.6119,0.733
0.25,5,-2.0,1028,1028,0.03594,-0.06251,0.642,0.575,0.07244,-0.07952,0.6887,0.911,0.06937,-0.09893,0.5992,0.701
0.4,5,-3.0,1385,1385,0.03614,-0.06465,0.6325,0.559,0.0737,-0.08471,0.6794,0.87,0.07791,-0.09957,0.6116,0.783
0.35,8,-3.0,1429,1429,0.0364,-0.06531,0.6186,0.557,0.07424,-0.0861,0.6739,0.862,0.07917,-0.10213,0.5983,0.775
0.3,5,-1.0,1180,1180,0.03536,-0.06372,0.6331,0.555,0.07198,-0.08086,0.7025,0.89,0.06765,-0.09873,0.6008,0.685
0.35,3,-2.0,1105,1105,0.03529,-0.06377,0.6416,0.553,0.07693,-0.07724,0.7195,0.996,0.07364,-0.09199,0.6118,0.8
0.25,8,-2.0,1109,1109,0.03489,-0.06305,0.6303,0.553,0.06974,-0.08173,0.6808,0.853,0.06679,-0.10178,0.5915,0.656
0.3,3,-1.0,1053,1053,0.03499,-0.06405,0.6334,0.546,0.07394,-0.07813,0.717,0.946,0.06794,-0.09488,0.603,0.716
0.3,3,-2.0,1032,1032,0.03456,-0.06346,0.6386,0.545,0.07405,-0.0779,0.719,0.951,0.06658,-0.09563,0.6047,0.696
0.4,3,-2.0,1208,1208,0.03517,-0.06458,0.6382,0.545,0.07774,-0.07837,0.7194,0.992,0.07575,-0.09195,0.6151,0.824
0.25,3,none,1025,1025,0.03532,-0.06479,0.6234,0.545,0.0737,-0.08038,0.7005,0.917,0.07101,-0.09841,0.6029,0.722
0.4,8,-3.0,1636,1636,0.03313,-0.06473,0.6161,0.512,0.06733,-0.0884,0.6656,0.762,0.07193,-0.10427,0.5837,0.69
