regime_type,bucket,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
strict_dir,down,859,859,0.03827,-0.05953,0.6775,0.643,0.08967,-0.07002,0.7707,1.281
strict_dir,other,151,151,0.00325,-0.10838,0.4106,0.03,0.02521,-0.11879,0.5364,0.212
strict_dir,up,136,136,0.03546,-0.05675,0.5735,0.625,0.03926,-0.08604,0.5515,0.456
strict_pos,low,794,794,0.03932,-0.06029,0.67,0.652,0.09089,-0.07273,0.7557,1.25
strict_pos,mid,167,167,0.03942,-0.05113,0.6707,0.771,0.05657,-0.06745,0.6766,0.839
strict_pos,high,34,34,-0.003,-0.07198,0.4706,-0.042,0.02267,-0.08294,0.7059,0.273
weekly_combo,strict_non_high,961,961,0.03934,-0.05869,0.6701,0.67,0.08495,-0.07181,0.7419,1.183
weekly_combo,strict_low,794,794,0.03932,-0.06029,0.67,0.652,0.09089,-0.07273,0.7557,1.25
weekly_combo,strict_low_and_daily_low,740,740,0.03692,-0.05884,0.6676,0.628,0.0879,-0.07113,0.7608,1.236
