strategy,event_n,ret_20,mae_20,wr_20,rr_20,ret_60,mae_60,wr_60,rr_60
C2_低位+转强确认,76,0.00405,-0.08387,0.5132,0.048,0.00224,-0.15093,0.4342,0.015
C3_低位+窄幅突破,82,0.00341,-0.08503,0.5,0.04,0.00454,-0.15372,0.4146,0.03
C1_纯低位反转,113,0.00222,-0.08075,0.531,0.027,0.00331,-0.1356,0.469,0.024
