stage,event_n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,hit20_10,hit20_15,hit40_20
S2_near_rope_plus_coil,50,0.00363,-0.08463,0.44,0.043,0.00436,-0.13327,0.38,0.033,0.16,0.1,0.12
S1_near_rope_only,92,-0.0025,-0.08539,0.4348,-0.029,-8e-05,-0.12964,0.4239,-0.001,0.1848,0.087,0.1196
