time_slice,start,end,n,ret_20,mae_20,wr_20,rr_20,ret_60,mae_60,wr_60,rr_60
T1,2021-02,2021-05,26,-0.01431,-0.08788,0.3846,-0.163,-0.04946,-0.15351,0.3077,-0.322
T2,2021-05,2023-07,25,-0.01482,-0.09504,0.52,-0.156,-0.01578,-0.1633,0.44,-0.097
T3,2023-09,2026-01,25,0.04202,-0.06853,0.64,0.613,0.07701,-0.13527,0.56,0.569
