exit_rule,n,ret_10,mae_10,wr_10,rr_10,avg_hold_bars,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
固定持有10,1146,,,,,10,,,,,,,,
固定持有20,1146,,,,,20,0.03332,-0.06563,0.63,0.508,,,,
固定持有40,1146,,,,,40,,,,,0.07531,-0.07827,0.7138,0.962
修复完成,1146,,,,,13,0.03332,-0.06563,0.63,0.508,,,,
Rope转弱,21,,,,,5,0.02262,-0.08317,0.5714,0.272,,,,
止损5%,667,,,,,40,,,,,0.02938,-0.11497,0.5442,0.256
止损7%,473,,,,,40,,,,,-0.00201,-0.13794,0.4228,-0.015
止损8%,403,,,,,40,,,,,-0.01268,-0.14887,0.3772,-0.085
