scene,factor,target,n,pearson_r,pearson_p,spearman_r,abs_pearson
sceneB_T1_entry,ret_t1,ret_5,106440,0.4526,0.0,0.4719,0.4526
sceneB_T1_entry,ret_t1,ret_10,106090,0.3498,0.0,0.3623,0.3498
sceneB_T1_entry,ret_t1,hold_ret,106412,0.3282,0.0,0.4679,0.3282
sceneB_T1_entry,ret_t1,ret_20,105274,0.2577,0.0,0.2875,0.2577
sceneB_T1_entry,dir_consistent,ret_5,106440,0.1604,0.0,0.1867,0.1604
sceneB_T1_entry,dir_consistent,ret_5,106440,0.1604,0.0,0.1867,0.1604
sceneB_T1_entry,dir_consistent,ret_10,106090,0.1105,1.8474782385375866e-285,0.1267,0.1105
sceneB_T1_entry,dir_consistent,ret_10,106090,0.1105,1.8474782385375866e-285,0.1267,0.1105
sceneB_T1_entry,dir_consistent,hold_ret,106412,0.1032,7.363747012635766e-250,0.0847,0.1032
sceneB_T1_entry,dir_consistent,hold_ret,106412,0.1032,7.363747012635766e-250,0.0847,0.1032
sceneB_T1_entry,position_in_structure,ret_20,80151,-0.0934,9.303310278213594e-155,-0.1664,0.0934
sceneB_T1_entry,position_in_structure,ret_5,81103,-0.0899,3.899637735775552e-145,-0.1736,0.0899
sceneB_T1_entry,position_in_structure,ret_10,80865,-0.088,8.438673502001133e-139,-0.1685,0.088
sceneB_T1_entry,event_index,ret_5,106440,0.0661,2.3111321368451567e-103,0.0576,0.0661
sceneB_T1_entry,score_trend_total,ret_5,106440,0.0641,3.4686293927949403e-97,0.0144,0.0641
sceneB_T1_entry,event_seq,ret_5,106440,0.0614,1.5653278702145302e-89,0.0527,0.0614
sceneB_T1_entry,event_index,hold_ret,106412,0.0549,1.018621857847028e-71,-0.0412,0.0549
sceneB_T1_entry,amount,ret_20,105274,-0.0529,4.500334303212782e-66,-0.1851,0.0529
sceneB_T1_entry,event_index,ret_10,106090,0.0528,1.979937350113611e-66,0.0319,0.0528
sceneB_T1_entry,breakout_quality_score,ret_5,106440,0.0524,1.1512351858770783e-65,0.0125,0.0524
sceneB_T1_entry,position_in_structure,hold_ret,81067,-0.0523,3.3302254847149377e-50,-0.153,0.0523
sceneB_T1_entry,vol_record_days,ret_20,105274,-0.0516,6.411864959877781e-63,-0.0859,0.0516
sceneB_T1_entry,event_seq,ret_10,106090,0.0502,4.335481097536565e-60,0.028,0.0502
sceneB_T1_entry,event_seq,hold_ret,106412,0.0486,1.4786143036035724e-56,-0.052,0.0486
