factor,target,group,mean,median,std,count,win_rate,monotonic,spread
amount,hold_ret,Q1,0.018886973490733226,-0.0069252077562326625,0.13787386706865373,21283,0.4097166752807405,True,0.02089758542100802
amount,hold_ret,Q2,0.012804282393552455,-0.013111611585857164,0.11034226530288034,21282,0.3880744290950099,True,0.02089758542100802
amount,hold_ret,Q3,0.00788512238914359,-0.020507367579948393,0.11895099071561972,21282,0.35471290292265767,True,0.02089758542100802
amount,hold_ret,Q4,0.0016406935821822357,-0.02900859732872137,0.13024301649859746,21282,0.3258152429282962,True,0.02089758542100802
amount,hold_ret,Q5,-0.002010611930274793,-0.03599550056242973,0.13978682393708075,21283,0.3151811304797256,True,0.02089758542100802
amount,ret_5,Q1,0.010714361466728326,0.0030400965806854,0.07100866734631162,21288,0.5287485907553551,True,0.012360787967174484
amount,ret_5,Q2,0.008783139515187681,0.0,0.07820697680868195,21288,0.4922021796317174,True,0.012360787967174484
amount,ret_5,Q3,0.005155441127002084,-0.0045547057389662,0.08581615508017845,21288,0.45654829011649756,True,0.012360787967174484
amount,ret_5,Q4,0.0009579248113261436,-0.0101394332712202,0.09553224048499541,21288,0.4250751597143931,True,0.012360787967174484
amount,ret_5,Q5,-0.0016464265004461575,-0.0125307244013649,0.10722038789402419,21288,0.41972003006388575,True,0.012360787967174484
amount,ret_10,Q1,0.01872198477782503,0.01127656522051005,0.10064477761991948,21218,0.5875200301630691,True,0.020186752790559818
amount,ret_10,Q2,0.01419882745285463,0.0050505050505049,0.09723104334206029,21218,0.5301159392968234,True,0.020186752790559818
amount,ret_10,Q3,0.009857323368267975,-0.00197550868763315,0.1122573732245526,21218,0.4858610613629937,True,0.020186752790559818
amount,ret_10,Q4,0.0015105356450175577,-0.01136363636363625,0.1252517454271074,21218,0.4383070977471958,True,0.020186752790559818
amount,ret_10,Q5,-0.0014647680127347878,-0.01730852768915045,0.1416666880921031,21218,0.41926666038269395,True,0.020186752790559818
amount,ret_20,Q1,0.04478225587209444,0.031122031122031,0.1622210756103991,21055,0.640085490382332,True,0.04827483130146752
amount,ret_20,Q2,0.03158463158715827,0.015130674002751,0.1438714067095324,21055,0.5659938256946093,True,0.04827483130146752
amount,ret_20,Q3,0.01962036000567325,0.0003841938253058,0.1540081850677848,21054,0.5002374845635034,True,0.04827483130146752
