factor,target,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson
max_ret_before_flip,ret_10,106072,0.6561,0.0,0.5822,0.0,0.6561
max_ret_before_flip,ret_20,105272,0.6319,0.0,0.4546,0.0,0.6319
max_ret_before_flip,ret_5,106274,0.6003,0.0,0.6296,0.0,0.6003
max_dd_before_flip,ret_5,106274,0.538,0.0,0.6222,0.0,0.538
max_dd_before_flip,ret_10,106072,0.4628,0.0,0.5574,0.0,0.4628
max_dd_before_flip,ret_20,105272,0.3869,0.0,0.4862,0.0,0.3869
flip1_position_in_structure,ret_5,81808,0.2503,0.0,0.2869,0.0,0.2503
flip1_position_in_structure,ret_10,81700,0.2482,0.0,0.2955,0.0,0.2482
bars_to_first_dir_flip,ret_10,106072,0.2267,0.0,0.3503,0.0,0.2267
bars_to_first_dir_flip,ret_20,105272,0.2052,0.0,0.2254,0.0,0.2052
flip1_position_in_structure,ret_20,80999,0.1928,0.0,0.2342,0.0,0.1928
bars_to_first_dir_flip,ret_5,106274,0.1728,0.0,0.3672,0.0,0.1728
flip1_state_score_total,ret_5,106274,0.1628,0.0,0.1602,0.0,0.1628
t1_rope_dir,ret_5,106440,0.1502,0.0,0.1869,0.0,0.1502
flip1_state_score_total,ret_10,106072,0.1334,0.0,0.1435,0.0,0.1334
flip1_state_score_total,ret_20,105272,0.1144,2.691202129537529e-303,0.1026,2.439088230400266e-244,0.1144
t1_rope_dir,ret_10,106090,0.0999,3.0840994181143215e-233,0.1256,0.0,0.0999
flip1_rope_dir,ret_5,106274,0.0981,2.0920885997156628e-225,0.1149,6.138903572958576e-309,0.0981
position_in_structure,ret_20,80151,-0.0934,9.303310278213594e-155,-0.1664,0.0,0.0934
position_in_structure,ret_5,81103,-0.0899,3.899637735775552e-145,-0.1736,0.0,0.0899
position_in_structure,ret_10,80865,-0.088,8.438673502001133e-139,-0.1685,0.0,0.088
event_index,ret_5,106440,0.0661,2.3111321368451567e-103,0.0576,7.103169226334244e-79,0.0661
score_trend_total,ret_5,106440,0.0641,3.4686293927949403e-97,0.0144,2.5520686242110867e-06,0.0641
event_seq,ret_5,106440,0.0614,1.5653278702145302e-89,0.0527,1.893148950275615e-66,0.0614
amount,ret_20,105274,-0.0529,4.500334303212782e-66,-0.1851,0.0,0.0529
event_index,ret_10,106090,0.0528,1.979937350113611e-66,0.0319,2.4598724587607784e-25,0.0528
breakout_quality_score,ret_5,106440,0.0524,1.1512351858770783e-65,0.0125,4.742529076133665e-05,0.0524
vol_record_days,ret_20,105274,-0.0516,6.411864959877781e-63,-0.0859,1.6318912605756266e-171,0.0516
flip1_rope_dir,ret_10,106072,0.0514,5.149040270372999e-63,0.0509,9.152422795054108e-62,0.0514
event_seq,ret_10,106090,0.0502,4.335481097536565e-60,0.028,8.095218007393483e-20,0.0502
score_volume_total,ret_20,105274,-0.0477,4.308995665871255e-54,-0.1053,2.343066565310963e-257,0.0477
upper_wick_ratio,ret_5,106440,-0.0474,5.248328984556128e-54,-0.0335,9.459189065409938e-28,0.0474
flip1_dist_to_rope_atr,ret_5,92868,-0.0455,1.0387061349389257e-43,-0.0246,6.66721081959272e-14,0.0455
atr_raw,ret_20,90119,-0.045,1.4765139995246515e-41,-0.0885,5.101494706196547e-156,0.045
vol_zscore,ret_10,88568,-0.0426,6.274992011247843e-37,-0.0759,2.283228628999677e-113,0.0426
range_width_atr,ret_10,90935,0.0412,1.973287704804487e-35,0.1055,2.955434598719016e-223,0.0412
upper,ret_20,90119,-0.0395,1.5594593195214188e-32,-0.0783,1.1094268708412757e-122,0.0395
vol_zscore,ret_5,88918,-0.0393,9.475609215438062e-32,-0.0719,4.145673803002785e-102,0.0393
score_candle_total,ret_5,106440,0.039,4.2593963155692005e-37,0.0346,1.593122286607463e-29,0.039
lower,ret_20,90119,-0.0379,4.5615493479914916e-30,-0.0765,5.930347871925698e-117,0.0379
t1_rope_dir,ret_20,105274,0.0375,4.7651775604237555e-34,0.031,8.869310311702248e-24,0.0375
score_trend_total,ret_20,105274,-0.0364,3.0727541012562223e-32,-0.0918,8.291210638144249e-196,0.0364
breakout_quality_score,ret_20,105274,-0.0356,8.154829475163604e-31,-0.0873,2.440305793876119e-177,0.0356
vol_record_days,ret_10,106090,-0.0354,1.0013436011119317e-30,-0.0523,4.001273248958201e-65,0.0354
flip1_close,ret_10,106072,0.0346,1.8834230330014797e-29,0.0264,8.06447143212563e-18,0.0346
rope_slope_atr_5,ret_20,90119,-0.034,1.7555063400320333e-24,-0.066,1.206170561275071e-87,0.034
nearest_high,ret_20,82199,-0.0339,2.284861897210299e-22,-0.0602,6.536570865036055e-67,0.0339
high,ret_20,105274,-0.0325,5.742426647823358e-26,-0.0601,9.594903503158692e-85,0.0325
nearest_low,ret_20,86212,-0.0325,1.3585100120119334e-21,-0.0636,5.310195402004022e-78,0.0325
atr_raw,ret_5,91285,-0.0322,2.1113719111821716e-22,-0.0592,8.912508785178454e-72,0.0322
close,ret_20,105274,-0.0316,1.0049996732392958e-24,-0.0588,2.4970894526460944e-81,0.0316
vol,ret_20,105274,-0.0316,1.2615315775775993e-24,-0.13,0.0,0.0316
body_to_range,ret_5,106440,0.0314,1.1553757392609743e-24,0.0304,3.213413800033999e-23,0.0314
open,ret_20,105274,-0.0304,5.524055818687723e-23,-0.056,8.418596967140889e-74,0.0304
rope,ret_20,105274,-0.0301,1.563971740865808e-22,-0.0565,2.845619386871841e-75,0.0301
amount,ret_10,106090,-0.03,1.602866380125887e-22,-0.1312,0.0,0.03
low,ret_20,105274,-0.0298,3.489268960236887e-22,-0.0552,9.844897399449093e-72,0.0298
vol_zscore,ret_20,87752,-0.0297,1.2105571694341444e-18,-0.053,1.2710923090657292e-55,0.0297
t1_open,ret_20,105274,-0.0296,8.031134750618551e-22,-0.0556,8.84788000368001e-73,0.0296
atr_raw,ret_10,90935,-0.0292,1.151453060101999e-18,-0.062,3.3842800519287813e-78,0.0292
upper_wick_ratio,ret_10,106090,-0.0283,3.207012377142704e-20,-0.0217,1.542057786121002e-12,0.0283
range_width_atr,ret_5,91285,0.0274,1.2262719556195892e-16,0.0898,9.180904239683524e-163,0.0274
t1_high,ret_20,105274,-0.0271,1.3299334305345158e-18,-0.0524,5.77448584994076e-65,0.0271
t1_low,ret_20,105274,-0.0271,1.4228760424012676e-18,-0.0511,8.47414912122987e-62,0.0271
high_break_flag,ret_20,105274,-0.026,3.538654779393118e-17,-0.0642,1.3709732902900553e-96,0.026
