dsa_thr,bars_thr,vwap_thr,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,ret_60,mae_60,wr_60,rr_60
0.4,8,-1.0,70,70,0.01963,-0.08036,0.5857,0.244,0.04317,-0.10854,0.5,0.398,0.02036,-0.14078,0.4429,0.145
0.4,8,-2.0,67,67,0.01736,-0.08193,0.5522,0.212,0.03318,-0.11448,0.4776,0.29,0.0319,-0.14745,0.4328,0.216
0.35,8,-1.0,61,61,0.01603,-0.08489,0.5738,0.189,0.03651,-0.11983,0.4918,0.305,0.00898,-0.15505,0.3934,0.058
0.3,5,-3.0,40,40,0.01449,-0.08774,0.65,0.165,0.00285,-0.13256,0.4,0.021,-0.04203,-0.1783,0.325,-0.236
0.35,8,-2.0,59,59,0.01192,-0.08299,0.5763,0.144,0.03064,-0.11865,0.5085,0.258,0.0083,-0.15143,0.4068,0.055
0.25,3,-2.0,30,30,0.0123,-0.09227,0.6667,0.133,-0.00201,-0.13651,0.3667,-0.015,-0.04383,-0.17788,0.3,-0.246
0.35,5,-3.0,45,45,0.01164,-0.08824,0.5556,0.132,-0.00104,-0.12691,0.3333,-0.008,-0.02369,-0.17055,0.2667,-0.139
0.4,5,-3.0,51,51,0.01066,-0.08476,0.5294,0.126,0.00015,-0.12463,0.3529,0.001,-0.01811,-0.16227,0.3137,-0.112
0.35,3,-2.0,41,41,0.0117,-0.09369,0.5854,0.125,-0.00427,-0.13172,0.3902,-0.032,-0.02132,-0.16784,0.3171,-0.127
0.4,8,none,82,82,0.0101,-0.08623,0.5,0.117,0.00765,-0.125,0.378,0.061,-0.00868,-0.16419,0.3659,-0.053
0.4,5,none,72,72,0.00971,-0.08489,0.5278,0.114,-0.01408,-0.13213,0.3611,-0.107,-0.03192,-0.16817,0.3611,-0.19
0.35,8,none,74,74,0.01002,-0.09572,0.5541,0.105,0.00298,-0.13126,0.4459,0.023,-0.01656,-0.17042,0.4054,-0.097
0.4,8,-3.0,62,62,0.00901,-0.08816,0.5645,0.102,0.02583,-0.12434,0.3871,0.208,0.03172,-0.15537,0.371,0.204
0.25,3,-3.0,30,30,0.00782,-0.09428,0.6333,0.083,0.01394,-0.13851,0.3667,0.101,-0.02603,-0.17982,0.3,-0.145
0.3,3,-2.0,34,34,0.00618,-0.09431,0.6471,0.066,-0.01176,-0.13891,0.3529,-0.085,-0.05499,-0.18513,0.2941,-0.297
0.3,3,-3.0,33,33,0.00618,-0.09434,0.6364,0.065,-0.01563,-0.14614,0.3333,-0.107,-0.05861,-0.19335,0.2727,-0.303
0.3,3,-1.0,36,36,0.00575,-0.09332,0.6389,0.062,-0.0128,-0.14145,0.3611,-0.09,-0.05145,-0.18587,0.2778,-0.277
0.35,3,-3.0,37,37,0.00503,-0.09769,0.5676,0.052,-0.00915,-0.13832,0.3514,-0.066,-0.02963,-0.17866,0.3243,-0.166
0.4,3,-2.0,45,45,0.00454,-0.09578,0.5111,0.047,-0.01079,-0.12829,0.3556,-0.084,-0.02389,-0.16319,0.3111,-0.146
0.25,3,-1.0,30,30,0.00439,-0.09696,0.6333,0.045,-0.0144,-0.14579,0.3333,-0.099,-0.04826,-0.19297,0.2667,-0.25
0.35,8,-3.0,56,56,0.00349,-0.088,0.5893,0.04,0.01619,-0.1256,0.4107,0.129,-0.01178,-0.16039,0.3571,-0.073
0.25,5,-3.0,33,33,0.00384,-0.09499,0.6061,0.04,0.01462,-0.13831,0.3636,0.106,-0.03495,-0.18023,0.303,-0.194
0.25,5,-2.0,35,35,0.00309,-0.09256,0.6286,0.033,-0.01108,-0.13894,0.3429,-0.08,-0.05068,-0.18045,0.3143,-0.281
0.4,3,-3.0,40,40,0.0024,-0.10217,0.525,0.024,-0.01467,-0.13651,0.3,-0.107,-0.02861,-0.17198,0.3,-0.166
0.35,3,-1.0,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055,-0.03818,-0.16982,0.2381,-0.225
0.25,5,-1.0,39,39,0.00066,-0.0944,0.5897,0.007,-0.02,-0.1436,0.3077,-0.139,-0.05038,-0.18628,0.2821,-0.27
0.3,3,none,46,46,0.00018,-0.09923,0.5652,0.002,-0.03771,-0.14754,0.3261,-0.256,-0.05001,-0.1894,0.3043,-0.264
0.35,5,none,62,62,9e-05,-0.08373,0.5484,0.001,-0.03476,-0.14346,0.3226,-0.242,-0.05581,-0.18461,0.2903,-0.302
0.35,5,-1.0,52,52,-0.00044,-0.08553,0.5385,-0.005,0.00195,-0.12717,0.3846,0.015,-0.00044,-0.16357,0.3269,-0.003
0.3,5,-1.0,47,47,-0.00054,-0.08819,0.5957,-0.006,-0.01847,-0.14041,0.3404,-0.132,-0.05365,-0.18589,0.2766,-0.289
0.3,8,none,64,64,-0.00109,-0.08606,0.5312,-0.013,-0.03112,-0.13981,0.375,-0.223,-0.05341,-0.17831,0.3438,-0.3
0.4,3,none,58,58,-0.00207,-0.09266,0.4828,-0.022,-0.019,-0.13481,0.3448,-0.141,-0.00919,-0.16868,0.3103,-0.054
0.3,5,-2.0,43,43,-0.00197,-0.08943,0.5814,-0.022,-0.02631,-0.14455,0.3256,-0.182,-0.06708,-0.19201,0.3023,-0.349
0.25,3,none,35,35,-0.00367,-0.10706,0.5714,-0.034,-0.03916,-0.15353,0.2857,-0.255,-0.08394,-0.20869,0.2286,-0.402
0.3,8,-1.0,52,52,-0.00321,-0.08658,0.5769,-0.037,-0.0097,-0.13475,0.4231,-0.072,-0.04278,-0.1705,0.3269,-0.251
0.35,3,none,51,51,-0.00483,-0.09151,0.4902,-0.053,0.00092,-0.13485,0.4314,0.007,-0.00853,-0.17008,0.3137,-0.05
0.3,8,-2.0,49,49,-0.00575,-0.08739,0.5714,-0.066,-0.01358,-0.13755,0.3878,-0.099,-0.0527,-0.17953,0.3061,-0.294
0.25,8,-1.0,43,43,-0.00663,-0.09698,0.5349,-0.068,-0.03203,-0.15018,0.2791,-0.213,-0.09051,-0.2072,0.2326,-0.437
0.3,8,-3.0,45,45,-0.00716,-0.0917,0.5556,-0.078,-0.01857,-0.14046,0.3778,-0.132,-0.05165,-0.18174,0.2889,-0.284
0.25,8,none,53,53,-0.0083,-0.09206,0.5283,-0.09,-0.02213,-0.14199,0.3396,-0.156,-0.05096,-0.18656,0.3019,-0.273
0.25,8,-2.0,39,39,-0.00871,-0.0944,0.5641,-0.092,-0.02769,-0.14748,0.3077,-0.188,-0.07772,-0.19387,0.2564,-0.401
0.4,5,-1.0,55,55,-0.00946,-0.09379,0.4545,-0.101,-0.01555,-0.13722,0.3091,-0.113,-0.01949,-0.17311,0.2909,-0.113
0.35,5,-2.0,49,49,-0.00983,-0.09196,0.5102,-0.107,-0.00894,-0.13062,0.3469,-0.068,-0.03144,-0.17193,0.3061,-0.183
0.3,5,none,55,55,-0.00966,-0.08934,0.5273,-0.108,-0.02886,-0.14822,0.3636,-0.195,-0.05036,-0.19162,0.2727,-0.263
0.4,3,-1.0,49,49,-0.01414,-0.10309,0.4694,-0.137,-0.01932,-0.13495,0.3469,-0.143,-0.02884,-0.16774,0.3265,-0.172
0.25,8,-3.0,37,37,-0.01359,-0.09692,0.5135,-0.14,-0.00913,-0.14527,0.3243,-0.063,-0.05439,-0.19156,0.2973,-0.284
0.4,5,-2.0,55,55,-0.01418,-0.09435,0.4545,-0.15,-0.01188,-0.13356,0.3455,-0.089,-0.02256,-0.166,0.3273,-0.136
