variant,event_n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,hit20_10,hit20_15,hit40_20
D_breakout_strength_release,5,0.05324,-0.07626,0.2,0.698,0.10584,-0.1004,0.4,1.054,0.2,0.2,0.2
B_relaxed_main,31,0.04902,-0.09701,0.4194,0.505,-0.02361,-0.13809,0.4194,-0.171,0.2903,0.1935,0.129
A_loose_background,55,-0.0236,-0.11709,0.3636,-0.202,-0.03027,-0.16291,0.3636,-0.186,0.1636,0.0545,0.0727
C_first_release,16,0.00564,-0.11465,0.5,0.049,-0.01645,-0.14065,0.4375,-0.117,0.1875,0.125,0.0625
