regime_type,bucket,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
strict_dir,down,23,23,-0.00032,-0.08902,0.5217,-0.004,0.03133,-0.11972,0.4348,0.262
strict_dir,up,12,12,-0.03852,-0.12513,0.5,-0.308,-0.04457,-0.14864,0.4167,-0.3
strict_pos,low,26,26,-0.01186,-0.09515,0.5,-0.125,0.00599,-0.12851,0.5,0.047
weekly_combo,strict_non_high,32,32,-0.02152,-0.10403,0.5,-0.207,-0.01159,-0.13247,0.4375,-0.087
weekly_combo,strict_low,26,26,-0.01186,-0.09515,0.5,-0.125,0.00599,-0.12851,0.5,0.047
weekly_combo,strict_low_and_daily_low,20,20,-0.02844,-0.11326,0.55,-0.251,-0.02345,-0.1552,0.4,-0.151
