strategy,event_n,ret_20,mae_20,wr_20,rr_20,ret_60,mae_60,wr_60,rr_60
C1_纯低位反转,64,0.01571,-0.08511,0.6094,0.185,-0.00583,-0.16351,0.3438,-0.036
C3_低位+窄幅突破,45,0.00454,-0.09578,0.5111,0.047,-0.02389,-0.16319,0.3111,-0.146
C2_低位+转强确认,42,0.00085,-0.09848,0.5714,0.009,-0.03818,-0.16982,0.2381,-0.225
