time_slice,start,end,n,ret_20,mae_20,wr_20,rr_20,ret_60,mae_60,wr_60,rr_60
T1,2021-04,2021-08,14,0.04145,-0.07637,0.6429,0.543,0.05075,-0.15865,0.3571,0.32
T2,2021-08,2023-07,14,-0.05524,-0.10995,0.4286,-0.502,-0.13648,-0.20222,0.0714,-0.675
T3,2023-08,2026-01,14,0.01634,-0.10913,0.6429,0.15,-0.02809,-0.14695,0.2857,-0.191
