stage,event_n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,hit20_10,hit20_15,hit40_20
S2_near_rope_plus_coil,34,-0.00137,-0.09768,0.4412,-0.014,-0.00838,-0.14714,0.4412,-0.057,0.1765,0.0294,0.0882
S1_near_rope_only,55,-0.0236,-0.11709,0.3636,-0.202,-0.03027,-0.16291,0.3636,-0.186,0.1636,0.0545,0.0727
