symbol,datetime,open,high,low,close,dsa_pivot_pos_01,signed_vwap_dev_pct,rope_dir,bars_since_dir_change,rope_slope_atr_5,bb_pos_01,bb_width_percentile,w_DSA_DIR,w_dsa_pivot_pos_01,w_signed_vwap_dev_pct,ret_20,ret_40,ret_60,max_dd_20,max_dd_40,max_dd_60,win_20,win_40,win_60,rr_20,rr_40,rr_60,strategy
002160.SZ,2021-04-21 07:00:00,4.15,4.28,4.08,4.21,0.19999999999999973,-10.489300535415822,1.0,0.0,,,,-1.0,1.0,1.4537107880642517,0.019002375296912132,-0.04275534441805219,0.045130641330166366,-0.03087885985748216,-0.10451306413301661,-0.10451306413301661,1.0,0.0,1.0,0.6153846153846165,-0.4090909090909085,0.43181818181818277,C1_纯低位反转
300684.SZ,2021-04-28 07:00:00,19.77,20.05,19.56,19.92,0.2187500000000007,-5.379678228839725,1.0,0.0,,,,-1.0,0.1750000000000003,-1.256645722571298,0.010542168674698659,0.10090361445783122,-0.05773092369477922,-0.06626506024096386,-0.06626506024096386,-0.06626506024096386,1.0,1.0,0.0,0.15909090909090703,1.522727272727271,-0.8712121212121227,C1_纯低位反转
603659.SH,2021-04-28 07:00:00,77.52,79.85,75.28,78.5,0.12254160363086232,-24.543941698799262,1.0,0.0,,,,-1.0,0.7127659574468099,0.5990714392691627,0.32254777070063684,0.653503184713376,0.744968152866242,-0.045222929936305695,-0.045222929936305695,-0.045222929936305695,1.0,1.0,1.0,7.132394366197187,14.450704225352128,16.473239436619732,C1_纯低位反转
300514.SZ,2021-04-29 07:00:00,8.26,8.47,8.21,8.29,0.13461538461538355,-7.634894978749632,1.0,0.0,,,,-1.0,0.03448275862068902,-0.9999999999999984,0.11821471652593492,0.37997587454764786,0.11218335343787715,-0.05307599517490948,-0.05307599517490948,-0.05307599517490948,1.0,1.0,1.0,2.2272727272727306,7.159090909090918,2.1136363636363695,C1_纯低位反转
600692.SH,2021-04-29 07:00:00,6.52,6.64,6.44,6.6,0.13445378151260448,-10.462345807145303,1.0,0.0,,,,-1.0,0.08333333333333519,-0.8916629514043777,-0.040909090909090846,-0.10151515151515152,-0.15909090909090906,-0.0666666666666666,-0.10909090909090906,-0.16666666666666663,0.0,0.0,0.0,-0.6136363636363633,-0.9305555555555558,-0.9545454545454546,C1_纯低位反转
600988.SH,2021-04-29 07:00:00,15.5,15.56,15.28,15.37,0.16279069767441834,-7.568361524557482,1.0,0.0,,,,-1.0,0.3865546218487389,-0.5565862708719843,0.2205595315549774,-0.024723487312947236,-0.04554326610279762,-0.025374105400130045,-0.04229017566688345,-0.061808718282368204,1.0,0.0,0.0,8.692307692307725,-0.5846153846153843,-0.7368421052631577,C1_纯低位反转
300839.SZ,2021-05-06 07:00:00,20.86,21.46,20.81,21.34,0.17370892018779313,-12.462859368517483,1.0,0.0,,,,-1.0,0.025821596244131335,-14.485036938563484,0.02764761012183692,-0.060449859418931544,-0.33739456419868785,-0.04451733833177129,-0.08622305529522024,-0.3744142455482662,1.0,0.0,0.0,0.6210526315789476,-0.7010869565217387,-0.9011264080100123,C1_纯低位反转
300937.SZ,2021-05-06 07:00:00,54.41,55.88,54.1,54.65,0.05249110320284667,-13.018926063745631,1.0,0.0,,,,-1.0,0.024021352313166915,-12.290262925550667,0.06495882891125351,0.11619396157365053,-0.11436413540713633,-0.05215004574565419,-0.05215004574565419,-0.1967063129002745,1.0,1.0,0.0,1.2456140350877203,2.228070175438596,-0.5813953488372093,C1_纯低位反转
603976.SH,2021-05-10 07:00:00,45.85,46.7,45.04,45.25,0.07185628742514986,-1.268643944163065,1.0,0.0,,,,1.0,0.014371257485030483,-0.9297197193213783,-0.09613259668508291,-0.196243093922652,-0.1020994475138121,-0.13524861878453032,-0.20441988950276244,-0.35314917127071827,0.0,0.0,0.0,-0.7107843137254908,-0.9600000000000003,-0.2891113892365455,C1_纯低位反转
300867.SZ,2021-05-11 07:00:00,27.21,27.88,27.02,27.84,0.25,-7.0917118581896865,1.0,0.0,,,,-1.0,0.043333333333333,-5.344434439294848,0.038074712643678114,0.06968390804597706,0.14044540229885058,-0.015804597701149472,-0.015804597701149472,-0.015804597701149472,1.0,1.0,1.0,2.409090909090899,4.409090909090899,8.88636363636361,C1_纯低位反转
603809.SH,2021-05-12 07:00:00,18.19,18.4,18.14,18.33,0.12499999999999842,-6.603257398920157,1.0,0.0,,,,-1.0,0.3809523809523814,-0.06189011580599417,0.07637752318603394,-0.20458265139116194,-0.10147299509001635,-0.06819421713038736,-0.31969448990725574,-0.31969448990725574,1.0,0.0,0.0,1.1200000000000014,-0.6399317406143344,-0.31740614334470996,C1_纯低位反转
002568.SZ,2021-08-11 07:00:00,87.5,89.6,84.68,85.72,0.2608318890814558,-2.223032594769375,1.0,1.0,0.23626905174588447,0.7637047747635616,0.6666666666666666,-1.0,0.12550548815713455,-34.89712775443354,-0.22001866542230517,-0.2320345310312646,-0.2650489967335511,-0.22888474101726558,-0.2936304246383575,-0.3233784414372375,0.0,0.0,0.0,-0.9612640163098876,-0.7902264600715136,-0.8196248196248197,C1_纯低位反转
