variant,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
S0_no_filter,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
S3_bbpos_lt_0.8,13,13,0.0137,-0.08885,0.6154,0.154,-0.01014,-0.1215,0.5385,-0.083
S2_bbwidth_le_0.5,12,12,-0.03042,-0.10867,0.4167,-0.28,-0.03559,-0.12178,0.4167,-0.292
S1_bbwidth_lt_0.8,17,17,-0.01566,-0.10369,0.5294,-0.151,-0.03643,-0.12314,0.4706,-0.296
S5_bbwidth_lt_0.8_and_slope_gt_0,17,17,-0.01566,-0.10369,0.5294,-0.151,-0.03643,-0.12314,0.4706,-0.296
S4_rope_slope_gt_0,19,19,-0.02078,-0.10666,0.5263,-0.195,-0.05504,-0.13675,0.4211,-0.402
