exit_rule,n,ret_10,mae_10,wr_10,rr_10,avg_hold_bars,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
固定持有10,42,,,,,10,,,,,,,,
固定持有20,42,,,,,20,0.00085,-0.09848,0.5714,0.009,,,,
固定持有40,42,,,,,40,,,,,-0.00726,-0.13204,0.4048,-0.055
修复完成,42,,,,,13,0.00085,-0.09848,0.5714,0.009,,,,
Rope转弱,2,,,,,5,0.09325,-0.05618,1.0,1.66,,,,
止损5%,33,,,,,40,,,,,-0.0551,-0.16006,0.2727,-0.344
止损7%,29,,,,,40,,,,,-0.08294,-0.17407,0.1724,-0.476
止损8%,28,,,,,40,,,,,-0.08705,-0.17764,0.1429,-0.49
