variant,event_n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,hit20_10,hit20_15,hit40_20
C2_plus_break_up,27,0.03518,-0.08331,0.5926,0.422,0.00943,-0.13203,0.3704,0.071,0.2963,0.2222,0.2222
C2_plus_break_up_strong,24,0.02932,-0.08377,0.5833,0.35,-0.0027,-0.11801,0.4167,-0.023,0.25,0.2083,0.125
C2_plus_break_strong_depart,24,0.02932,-0.08377,0.5833,0.35,-0.0027,-0.11801,0.4167,-0.023,0.25,0.2083,0.125
C2_plus_break_strong_depart_above,24,0.02932,-0.08377,0.5833,0.35,-0.0027,-0.11801,0.4167,-0.023,0.25,0.2083,0.125
C2_plus_depart_from_rope,31,0.01935,-0.09452,0.5806,0.205,-0.0061,-0.14133,0.3871,-0.043,0.2903,0.2258,0.1935
C2_base,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055,0.1905,0.1429,0.0952
