rank_method,max_signals_per_day,event_n_before,event_n_after,ret_20_after,mae_20_after,wr_20_after,rr_20_after,ret_40_after,mae_40_after,wr_40_after,rr_40_after
no_limit,5,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
signed_vwap_dev_pct,5,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
dsa_pivot_pos_01,5,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
bars_since_dir_change,5,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
score_2f,5,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
score_3f,5,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
