symbol,datetime,open,high,low,close,rope_dir,dist_to_rope_atr,rope_slope_atr_5,range_break_up,range_break_up_strength,bb_pos_01,dsa_pivot_pos_01,bb_width_percentile,near_rope_ratio_5_loose,near_rope_ratio_5_mid,near_rope_streak_loose,near_rope_streak_mid,coil_loose,coil_mid,coil_strict,trigger_slope_up,trigger_above_rope,trigger_depart_from_rope,trigger_break_up,trigger_break_up_strong,trigger_dual_confirm,not_too_high,hit20_10,hit20_15,hit40_20,ret_5,ret_10,ret_20,ret_40,ret_60,max_dd_5,max_dd_10,max_dd_20,max_dd_40,max_dd_60,win_5,win_10,win_20,win_40,win_60,variant,variant_name
601330.SH,2021-05-24 07:00:00,9.09,9.53,9.08,9.23,1.0,0.41493966218492334,0.0,0.0,,0.7617004397109378,0.4946808510638299,,0.6,0.4,3.0,0.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,-0.015167930660888469,-0.06500541711809313,-0.04875406283856999,-0.05633802816901404,-0.02816901408450702,-0.042253521126760625,-0.0715059588299025,-0.08775731310942583,-0.09750812567713979,-0.14409534127843987,0.0,0.0,0.0,0.0,0.0,A,A_loose_background
603809.SH,2021-05-27 07:00:00,18.42,18.96,18.31,18.96,1.0,0.9999999999999986,0.2946163391979885,1.0,0.2523084407629163,0.8095004225684661,0.6911764705882356,,0.6,0.6,0.0,0.0,0,0,0,1,1,1,1,0,1,1,0.0,0.0,0.0,0.0063291139240504975,0.03586497890295357,-0.29957805907173,-0.08386075949367088,-0.129746835443038,-0.012130801687763735,-0.012130801687763735,-0.32489451476793246,-0.34229957805907174,-0.34229957805907174,1.0,1.0,0.0,0.0,0.0,A,A_loose_background
300839.SZ,2021-06-03 07:00:00,22.31,22.7,21.91,21.93,1.0,0.40584612574529855,0.1010135705160058,0.0,,0.8436605037394983,0.34451901565995513,,0.8,0.6,1.0,0.0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,-0.0022799817601459513,0.0109439124487005,-0.0857273141814865,-0.35522115823073414,-0.020063839489284144,-0.03739170086639308,-0.03739170086639308,-0.11080711354309164,-0.3912448700410397,-0.3912448700410397,0.0,1.0,0.0,0.0,0.0,A,A_loose_background
688595.SH,2021-06-07 07:00:00,72.25,76.69,70.0,70.24,1.0,0.2028181317953348,0.2599593776005575,0.0,,0.765006110706187,0.729105417891642,,0.6,0.6,3.0,3.0,0,0,0,1,1,0,0,0,0,1,1.0,1.0,1.0,0.05595102505694771,0.255125284738041,0.26964692482915736,0.6466400911161732,0.4646924829157176,-0.008399772209567046,-0.008399772209567046,-0.008399772209567046,-0.008399772209567046,-0.008399772209567046,1.0,1.0,1.0,1.0,1.0,A,A_loose_background
300514.SZ,2021-07-05 07:00:00,10.91,11.53,10.89,11.06,1.0,0.21351706517907895,1.1799908006526787,0.0,,0.8126149136171859,0.5911602209944753,0.9666666666666667,0.6,0.4,2.0,1.0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,-0.039783001808318376,-0.06238698010849921,-0.039783001808318376,-0.08227848101265824,-0.11934900542495482,-0.07504520795660037,-0.1066907775768535,-0.174502712477396,-0.174502712477396,-0.174502712477396,0.0,0.0,0.0,0.0,0.0,A,A_loose_background
002568.SZ,2021-08-10 07:00:00,83.33,90.5,81.3,87.68,1.0,0.9999999999999996,0.23390743689654586,1.0,0.2889418550114528,0.8594422177286115,0.2891392258809938,0.6607142857142857,0.6,0.6,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.10903284671532848,-0.10926094890510962,-0.19023722627737233,-0.2574133211678833,-0.29505018248175185,-0.12636861313868628,-0.16742700729927013,-0.22217153284671537,-0.3094206204379563,-0.33850364963503654,0.0,0.0,0.0,0.0,0.0,A,A_loose_background
603659.SH,2021-08-30 07:00:00,153.3,158.48,148.68,150.0,1.0,0.21567438273638131,0.1362067990644452,0.0,,0.509862478978193,0.752018908804412,0.02857142857142857,0.6,0.2,3.0,1.0,1,1,1,1,1,0,0,0,0,1,1.0,0.0,0.0,-0.06680000000000007,0.06839999999999993,0.12,0.13873333333333335,0.18566666666666662,-0.11333333333333333,-0.11333333333333333,-0.11333333333333333,-0.11333333333333333,-0.11333333333333333,0.0,1.0,1.0,1.0,1.0,A,A_loose_background
002160.SZ,2021-09-06 07:00:00,5.38,5.58,5.18,5.24,1.0,0.21735957326489297,0.03201687348273088,0.0,,0.59894424253867,0.7777777777777778,0.8607594936708861,0.6,0.4,2.0,2.0,1,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.09923664122137396,0.040076335877862586,-0.12977099236641232,-0.20801526717557248,-0.10687022900763368,-0.003816793893129859,-0.030534351145038195,-0.17175572519083976,-0.23282442748091614,-0.23282442748091614,1.0,1.0,0.0,0.0,0.0,A,A_loose_background
601878.SH,2021-09-08 07:00:00,13.73,13.95,13.45,13.46,1.0,0.24470102574503824,0.41321343445852377,0.0,,0.8078539823202336,0.648101265822785,0.8961038961038961,0.6,0.6,1.0,1.0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,-0.037890044576523146,-0.055720653789004454,-0.10029717682020813,-0.05423476968796437,-0.04903417533432393,-0.05052005943536415,-0.0638930163447252,-0.11664190193164935,-0.11738484398216939,-0.11738484398216939,0.0,0.0,0.0,0.0,0.0,A,A_loose_background
600988.SH,2021-10-26 07:00:00,17.0,17.62,16.85,16.9,1.0,0.28933320973057686,0.35746649968252675,0.0,,0.7623067399176326,0.6587926509186348,0.7075471698113207,0.6,0.4,2.0,2.0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,-0.010059171597633027,0.007100591715976391,-0.013017751479289874,-0.09644970414201179,-0.10828402366863896,-0.06508875739644958,-0.06508875739644958,-0.06508875739644958,-0.10355029585798807,-0.13136094674556206,0.0,1.0,0.0,0.0,0.0,A,A_loose_background
