variant,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40
W2_wpos_le_0.4,26,26,-0.01186,-0.09515,0.5,-0.125,0.00599,-0.12851,0.5,0.047
W5_wdev_le_0,29,29,-0.02173,-0.10408,0.4828,-0.209,-0.00448,-0.1348,0.4483,-0.033
Base,42,42,0.00085,-0.09848,0.5714,0.009,-0.00726,-0.13204,0.4048,-0.055
W1_wpos_lt_0.7,32,32,-0.02152,-0.10403,0.5,-0.207,-0.01159,-0.13247,0.4375,-0.087
W3_wdir_up,12,12,-0.03852,-0.12513,0.5,-0.308,-0.04457,-0.14864,0.4167,-0.3
