trigger,event_n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,hit20_10,hit20_15,hit40_20
T0_no_trigger,26,-0.00426,-0.1102,0.5,-0.039,-0.01119,-0.1546,0.4615,-0.072,0.1923,0.0385,0.1154
T2_above_rope,55,-0.0236,-0.11709,0.3636,-0.202,-0.03027,-0.16291,0.3636,-0.186,0.1636,0.0545,0.0727
T1_slope_up,27,-0.03008,-0.11093,0.2593,-0.271,-0.05701,-0.16073,0.2593,-0.355,0.1481,0.0741,0.037
