ts_code,end_date,report_type,ann_date,f_ann_date,total_revenue,revenue,oper_cost,operate_profit,ebit,ebitda,n_income,n_income_attr_p,rd_exp,n_cashflow_act,free_cashflow,c_fr_sale_sg,c_pay_acq_const_fiolta,total_assets,accounts_receiv,inventories,accounts_pay,contract_liab,total_hldr_eqy_exc_min_int,name,rev_q,cost_q,op_q,ebit_q,ebitda_q,np_q,np_parent_q,cfo_q,fcf_q,cash_sales_q,capex_q,fiscal_year,quarter,rev_ytd,np_parent_ytd,cfo_ytd,rev_ytd_lag4,np_parent_ytd_lag4,cfo_ytd_lag4,rev_ttm,op_ttm,ebit_ttm,np_parent_ttm,cfo_ttm,fcf_ttm,capex_ttm,cost_ttm,avg_assets,q_rev_yoy,q_op_yoy,q_np_parent_yoy,q_ebit_yoy,q_rev_qoq,q_op_qoq,ytd_rev_yoy,ytd_np_parent_yoy,q_gross_margin,q_gm_yoy_change,q_gm_qoq_change,q_op_margin,op_margin_change,q_np_parent_margin,q_ebit_margin,q_cfo_to_np_parent,ttm_cfo_to_np_parent,q_accruals_to_assets,ttm_cfo_to_ebit,q_np_parent_to_np,q_cfo_to_rev,q_cfo_yoy,ytd_cfo_yoy,ttm_fcf_to_np_parent,capex_to_cfo,cash_sales_ratio,cash_sales_yoy,roa_parent,cfo_to_assets,asset_turnover,ar_days,inv_days,ap_days,ccc,contract_liab_to_rev,q_rev_yoy_delta,q_np_parent_yoy_delta,cfo_to_rev_change,cfo_to_np_change,rev_improve,np_improve,gm_improve,trend_consistency,profit_cash_sync,margin_profit_sync,q_rev_yoy_score,q_op_yoy_score,q_np_parent_yoy_score,ytd_rev_yoy_score,ytd_np_parent_yoy_score,q_ebit_yoy_score,q_rev_qoq_score,q_op_qoq_score,q_gross_margin_score,q_gm_yoy_change_score,q_op_margin_score,q_np_parent_margin_score,q_gm_qoq_change_score,op_margin_change_score,q_ebit_margin_score,q_cfo_to_np_parent_score,ttm_cfo_to_np_parent_score,q_accruals_to_assets_score,ttm_cfo_to_ebit_score,q_np_parent_to_np_score,q_cfo_to_rev_score,q_cfo_yoy_score,ytd_cfo_yoy_score,ttm_fcf_to_np_parent_score,capex_to_cfo_score,cash_sales_ratio_score,cash_sales_yoy_score,roa_parent_score,cfo_to_assets_score,asset_turnover_score,ccc_score,contract_liab_to_rev_score,q_rev_yoy_delta_score,q_np_parent_yoy_delta_score,trend_consistency_score,profit_cash_sync_score,margin_profit_sync_score,cfo_to_np_change_score,利润质量_score,现金创造能力_score,盈利能力_score,规模与增长_score,资产效率与资金占用_score,边际变化与持续性_score,total_score
000657.SZ,2011-12-31,2,1332806400000000000,1332806400000000000,487438642.17,487438642.17,466604898.96,-309977.04,,,-14777.07,-14777.07,,-31167146.84,,277253268.45,538601.29,393423520.24,25030.0,215910662.11,38401470.19,,332927346.44,中钨高新,487438642.17,466604898.96,-309977.04,,,-14777.07,-14777.07,-31167146.84,,277253268.45,538601.29,2011,4,487438642.17,-14777.07,-31167146.84,,,,,,,,,,,,,,,,,,,,,0.04274126301774417,,,-0.0006359303780677524,,-3.0315754069506703e-05,,2109.1560667980866,,,,1.0,-0.06394065661525884,,,,,0.568796243186039,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
000657.SZ,2012-03-31,2,1334707200000000000,1334707200000000000,348130076.72,348130076.72,335464523.99,38317.01,,,83356.39,83356.39,,20565022.57,,173649501.39,734757.49,456353917.14,30.0,252676532.63,109506048.87,,333010702.83,中钨高新,348130076.72,335464523.99,38317.01,,,83356.39,83356.39,20565022.57,,173649501.39,734757.49,2012,1,348130076.72,83356.39,20565022.57,,,,,,,,,,,,424888718.69,,,,,-0.28579713095748877,1.1236124133580991,,,0.03638166759198713,,-0.006359595425757036,0.0001100652099956829,,0.00023944035742434083,,246.712010560918,,-0.0482047775783463,,1.0,0.05907281198958396,,,,,0.4988063744048916,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
000657.SZ,2012-06-30,2,1344038400000000000,1344038400000000000,377465011.18,377465011.18,366241901.26,-14336819.7,,,-7898424.52,-7898424.52,,8637517.13,,140738021.22,7876060.44,465696739.58,47332020.67,212123840.34,119334979.5,,325112278.31,中钨高新,377465011.18,366241901.26,-14336819.7,,,-7898424.52,-7898424.52,8637517.13,,140738021.22,7876060.44,2012,2,725595087.9000001,-7815068.13,29202539.700000003,,,,,,,,,,,,461025328.36,,,,,0.08426429206113661,-375.1633206766394,,,0.029732848310669246,,-0.006648819281317886,-0.03798185070235097,,-0.020924918299867305,,-1.0935746879809394,,-0.035867750929917695,,1.0,0.022882961000804038,,,,,0.37285050813063814,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
000657.SZ,2012-09-30,2,1351209600000000000,1351209600000000000,236644115.36,236644115.36,251172191.94,-26003085.78,,,-26007812.93,-26007812.93,,-17623432.43,,165828136.64,-4519491.54,405747366.04,,199681980.09,96149927.75,,299102176.52,中钨高新,236644115.36,251172191.94,-26003085.78,,,-26007812.93,-26007812.93,-17623432.43,,165828136.64,-4519491.54,2012,3,962239203.26,-33822881.06,11579107.270000003,,,,1449677845.43,-40611565.51,,-33837658.129999995,-19588039.57,,4629927.680000001,1419483516.15,435722052.81,,,,,-0.37307006384453306,-0.8137276135236605,,,-0.0613920889513726,,-0.09112493726204185,-0.10988266384922457,,-0.10990263962590005,,0.6776207010344718,0.5788828380127619,-0.019242497472708994,,1.0,-0.07447230370884131,,,,-0.23636503609534013,0.7007490399147696,,-0.0776588146314347,-0.044955355010551916,3.3270701725582463,,51.34538154449987,24.723586592915012,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,25.0,,25.0,25.0,,,,50.0,,,,100.0,25.0,,,,,100.0,,,,,,,,,,0.0,0.0,,57.142857142857146,50.0,25.0,,,0.0,36.038961038961034
000657.SZ,2012-12-31,2,1363824000000000000,1395705600000000000,7527329760.41,7527329760.41,6303518591.07,152721436.0,,,216186847.06,188772566.52,,-4011491.55,,345935618.82,2238725.16,370167282.99,4208712.0,180613034.57,50893659.77,,281872414.85,中钨高新,7527329760.41,6303518591.07,152721436.0,,,216186847.06,188772566.52,-4011491.55,,345935618.82,2238725.16,2012,4,8489568963.67,154949685.46,7567615.720000003,487438642.17,-14777.07,-31167146.84,8489568963.67,112419847.53,,154949685.46,7567615.72,,6330051.550000001,7256397208.26,387957324.515,14.44262007398411,493.68628411962385,12775.69528939093,,30.808649663478366,6.873204330136236,16.41669254180542,10486.819276757842,0.16258237758848249,0.11984111457073832,0.2239744665398551,0.020288925935361378,0.020924856313429132,0.025078291044567963,,-0.021250394715457723,0.04883918090917046,0.496920784550225,,0.8731917278372098,-0.0005329235834861978,0.87129102414817,1.242807458727268,,0.8364657752468436,0.045957282307392565,0.24772422252755597,0.3993987886520983,0.019506309693883367,21.882739227267145,0.18094910195957897,9.084915795817874,2.559973673285776,6.705891224491677,,,,0.06340773303177265,-2109.177317192802,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,100.0,,100.0,100.0,100.0,,,40.0,,0.0,,20.0,60.0,,,,,20.0,,,,,,,,,,0.0,0.0,,21.666666666666668,46.666666666666664,100.0,100.0,,0.0,60.33333333333333
000657.SZ,2013-03-31,2,1365984000000000000,1365984000000000000,268250325.75,268250325.75,260350576.22,-2515981.5,,,-2661458.96,-2661458.96,,-2795916.08,,54090692.74,195085.0,383409143.96,27304.29,198154287.11,87877311.59,,279210955.89,中钨高新,268250325.75,260350576.22,-2515981.5,,,-2661458.96,-2661458.96,-2795916.08,,54090692.74,195085.0,2013,1,268250325.75,-2661458.96,-2795916.08,348130076.72,83356.39,20565022.57,8409689212.7,109865549.02,,152204870.11,-15793322.930000002,,5790379.0600000005,7181283260.490001,376788213.475,-0.2294537482156334,-66.66226070353609,-32.92867349461751,,-0.9643631494449914,-1.0164743179863762,-0.2294537482156334,-32.92867349461751,0.029449170314754025,-0.006932497277233107,-0.13313320727372846,-0.00937922998962099,-0.009489295199616674,-0.009921549778397614,,1.0505200801593424,-0.10376358469072643,0.00035685065294358356,,1.0,-0.010422787268507165,-1.1359549239726412,-1.1359549239726412,,-0.36663462690305415,0.20164259852720795,-0.6885064897565266,0.4039533739823282,-0.04191565013232,22.31940626576416,0.0011850694595169603,10.071502845887597,4.466502373861439,5.606185541485675,,-14.672073822199742,-12808.623962885547,-0.06949559925809112,-245.66149048075866,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,20.0,40.0,33.33333333333333,,50.0,50.0,20.0,,,66.66666666666666,,20.0,,100.0,50.0,,,,,33.33333333333333,,,,,,,,,,0.0,0.0,,49.99999999999999,44.44444444444444,40.55555555555556,30.000000000000004,,0.0,35.0
000657.SZ,2013-06-30,2,1376611200000000000,1376611200000000000,516142758.61,516142758.61,493678044.77,7108445.41,,,5779655.12,5779655.12,,20594390.03,,341328387.45,2369265.33,397005491.38,13607951.65,176953670.96,89576764.16,,284901030.97,中钨高新,516142758.61,493678044.77,7108445.41,,,5779655.12,5779655.12,20594390.03,,341328387.45,2369265.33,2013,2,784393084.36,3118196.16,17798473.950000003,725595087.9000001,-7815068.13,29202539.700000003,8548366960.13,131310814.13,,165882949.75,-3836450.030000001,,283583.9500000002,7308719404.0,390207317.66999996,0.3673923233215102,1.4958174517602394,1.7317478448220964,,0.924108599558709,3.8253170422755494,0.0810341710418295,1.3989979496186427,0.04352422554662727,0.013791377235958024,0.014075055231873246,0.01377224671163347,0.051754097413984436,0.011197783992097303,,3.5632558694955487,-0.023127452434272867,-0.037966317491075055,,1.0,0.03990056953518401,1.3842951301909603,-0.3905162313673697,,-0.073918322350728,0.6613061633746747,1.4252748794616028,0.42511491260727186,-0.009831824920424746,21.90724410596367,0.5810352287654326,8.837128138350952,4.4734948916640604,4.944668475452325,,0.5968460715371435,34.66042133943961,0.017017608534379974,4.656830557476488,1.0,1.0,1.0,25.0,0.0,0.0,,,,,,,83.33333333333334,83.33333333333334,85.71428571428571,,85.71428571428571,85.71428571428571,83.33333333333334,,,71.42857142857143,50.0,66.66666666666667,,100.0,85.71428571428571,,,,25.0,85.71428571428571,,100.0,75.0,75.0,,,,,100.0,0.0,0.0,,65.406162464986,70.53571428571428,85.51587301587301,83.33333333333334,85.0,66.66666666666666,76.36239495798318
000657.SZ,2013-09-30,2,1382486400000000000,1382486400000000000,291697467.21,291697467.21,288409462.27,-5852190.24,,,-7210353.94,-7210353.94,,-15896156.7,,135427223.55,-1957168.63,381633198.95,1419.61,183995988.33,89465995.33,,277780257.07,中钨高新,291697467.21,288409462.27,-5852190.24,,,-7210353.94,-7210353.94,-15896156.7,,135427223.55,-1957168.63,2013,3,1076090551.57,-4092157.7800000003,1902317.2500000037,962239203.26,-33822881.06,11579107.270000003,8603420311.98,151461709.67,,184680408.74,-2109174.3000000007,,2845906.8600000003,7345956674.330001,389319345.16499996,0.23264196435330264,0.7749424706931839,0.7227620038868066,,-0.43485118730415434,-1.8232728680404962,0.11831917461300624,0.8790121464596488,0.011271969453313324,0.07266405840468593,-0.03225225609331395,-0.02006253361050567,0.0898201302387189,-0.024718603178028604,,2.204629180797191,-0.011420671604476332,0.02231022647055674,,1.0,-0.05449535387482805,0.09801017689719145,-0.835711233548318,,-1.3492990408616297,0.4642728812331535,-0.18332783390069682,0.47436740823071455,-0.0054175943892695545,22.09862011437867,6.022693663803468e-05,9.142245008758549,4.445314578230664,4.696990657464522,,-0.13475035896820753,-1.0089858409352899,0.019976949834013262,1.5270084797627193,0.0,0.0,1.0,33.33333333333333,37.5,87.5,50.0,50.0,50.0,75.0,50.0,,28.57142857142857,28.57142857142857,25.0,75.0,37.5,25.0,42.857142857142854,100.0,,62.5,60.0,14.285714285714292,,100.0,37.5,50.0,50.0,,80.0,50.0,50.0,100.0,80.0,80.0,75.0,,,,100.0,37.5,87.5,75.0,49.78991596638656,50.66666666666666,45.168067226890756,51.53061224489796,85.83333333333333,85.71428571428571,57.44883153261304
000657.SZ,2013-12-31,2,1395705600000000000,1395705600000000000,10161206155.18,10161206155.18,8933345266.91,116684258.4,,,207336849.83,162561730.33,,384776637.06,,10441064964.53,535794987.78,9618647267.31,721706326.66,3110887165.71,674771072.18,,3484597927.7,中钨高新,10161206155.18,8933345266.91,116684258.4,,,207336849.83,162561730.33,384776637.06,,10441064964.53,535794987.78,2013,4,11237296706.75,158469572.55,386678954.31,8489568963.67,154949685.46,7567615.720000003,11237296706.75,115424532.07000001,,158469572.55,386678954.31,,536402169.47999996,9975783350.170002,5000140233.13,0.349908464037656,-0.23596672833799176,-0.1388487568569611,,33.83474248977522,20.938562079280594,0.3236592758523479,0.022716322911856806,0.12083810420912078,-0.04174427337936171,0.10956613475580745,0.011483307849286816,-0.008805618086074562,0.01599827105634787,,2.3669570708856513,2.4400832796339866,-0.04444173490528232,,0.7840464946934802,0.03786722079876785,96.91859592973591,50.096536692272714,,1.3872029069623661,1.0275418887360468,29.18210440470075,0.03169302562756342,0.07733362191482893,2.2473963094662346,23.441830905173806,113.82302277693309,24.688932457770626,112.57592122433627,,0.11726649968435338,-0.8616107607437676,0.038400144382254045,2.388207465601109,1.0,0.0,0.0,41.66666666666667,77.5,30.0,60.0,40.0,40.0,80.0,40.0,,100.0,100.0,88.88888888888889,20.0,77.77777777777779,88.88888888888889,87.5,40.0,,66.66666666666666,100.0,75.0,,11.11111111111111,77.77777777777779,100.0,100.0,,0.0,100.0,100.0,33.33333333333333,100.0,16.666666666666664,0.0,,75.0,75.0,100.0,77.5,30.0,80.0,75.65359477124183,80.74074074074072,67.1078431372549,55.238095238095234,47.222222222222214,79.80769230769232,67.7866803131509
000657.SZ,2014-03-31,2,1398816000000000000,1398816000000000000,1533746283.13,1533746283.13,1426913840.79,-131450002.96,,,-128580960.74,-119791775.11,,-74078376.32,,1336920514.96,47708413.55,10217268641.27,989942628.01,3396392886.32,1282473018.67,,3366942941.19,中钨高新,1533746283.13,1426913840.79,-131450002.96,,,-128580960.74,-119791775.11,-74078376.32,,1336920514.96,47708413.55,2014,1,1533746283.13,-119791775.11,-74078376.32,268250325.75,-2661458.96,-2795916.08,12502792664.130001,-13509489.389999986,,41339256.40000002,315396494.07,,583915498.03,11142346614.740002,9917957954.29,4.717593366724924,-51.246013319255326,-44.009814883638114,,-0.8490586393281545,-2.126544443633367,4.717593366724924,-44.009814883638114,0.06965457293365451,0.04020540261890049,-0.051183531275466265,-0.08570518110188523,-0.07632595111226424,-0.07810403612880115,,0.6183928425134094,7.629467037776708,-0.004609154323973186,,0.9316447351192813,-0.04829897691345937,-25.495207366882052,-25.495207366882052,,1.8513696537806286,0.8716699298085163,23.71627644678599,0.004168121763625624,0.03180054760502141,1.2606216644346564,28.8998681278854,111.25873627614907,42.01113715088577,98.14746725314869,,4.367684902687268,-43.870966126781155,-0.03787618964495221,-0.43212723764593297,1.0,0.0,1.0,58.333333333333336,36.666666666666664,41.66666666666666,83.33333333333334,33.33333333333333,16.666666666666664,83.33333333333334,16.666666666666664,,22.22222222222222,22.22222222222222,80.0,66.66666666666666,20.0,20.0,33.33333333333333,16.666666666666664,,30.0,100.0,33.33333333333334,,30.0,40.0,16.666666666666664,16.666666666666664,,0.0,90.0,83.33333333333334,28.57142857142857,85.71428571428571,14.285714285714285,16.666666666666657,,100.0,40.0,100.0,36.666666666666664,41.66666666666666,50.0,51.568627450980394,34.88888888888889,49.21568627450979,43.38624338624338,43.253968253968246,72.94871794871794,47.913117862529624
