strategy,event_n,ret_5,mae_5,wr_5,rr_5,ret_10,mae_10,wr_10,rr_10,ret_20,mae_20,wr_20,rr_20
D1_HLHH后纯下轨低吸,1086,-5e-05,-0.04473,0.4466,-0.001,0.00048,-0.06488,0.453,0.007,-0.00011,-0.0902,0.4503,-0.001
D2_HLHH后健康回踩,353,0.0005,-0.0374,0.4929,0.013,-0.00336,-0.054,0.4448,-0.062,-0.00877,-0.08023,0.4561,-0.109
D3_HLHH后健康回踩_周线过滤,174,-0.00754,-0.04128,0.454,-0.183,-0.01285,-0.0593,0.4023,-0.217,-0.02308,-0.08934,0.4138,-0.258
