variant,event_n,n,ret_5,mae_5,wr_5,rr_5,ret_10,mae_10,wr_10,rr_10,ret_20,mae_20,wr_20,rr_20
W3_wpos_le_0.4,134,134,0.00049,-0.03565,0.4851,0.014,0.00331,-0.05017,0.4552,0.066,0.00159,-0.06941,0.4701,0.023
W2_wpos_le_0.5,183,183,0.00231,-0.03661,0.5082,0.063,0.00301,-0.05113,0.4863,0.059,-0.00167,-0.07291,0.459,-0.023
Base,279,279,-0.00275,-0.03885,0.491,-0.071,-0.00601,-0.05618,0.448,-0.107,-0.01104,-0.08185,0.4444,-0.135
W1_wpos_lt_0.7,279,279,-0.00275,-0.03885,0.491,-0.071,-0.00601,-0.05618,0.448,-0.107,-0.01104,-0.08185,0.4444,-0.135
W6_wpos_le_0.5_and_wdir_up,72,72,-0.00392,-0.04184,0.4306,-0.094,-0.00265,-0.05575,0.4306,-0.047,-0.01242,-0.08109,0.4306,-0.153
W4_wdir_up,164,164,-0.00798,-0.04229,0.4573,-0.189,-0.01389,-0.06099,0.3963,-0.228,-0.0232,-0.09123,0.4207,-0.254
W5_wpos_le_0.7_and_wdir_up,164,164,-0.00798,-0.04229,0.4573,-0.189,-0.01389,-0.06099,0.3963,-0.228,-0.0232,-0.09123,0.4207,-0.254
