bb_pos_thr,vwap_dev_lo,dsa_pos_hi,rope_dir_min,weekly_dir_required,weekly_pos_hi,event_n,n,ret_5,mae_5,wr_5,rr_5,ret_10,mae_10,wr_10,rr_10,ret_20,mae_20,wr_20,rr_20
0.1,-1.0,0.45,none,1,0.5,25,25,0.00457,-0.03183,0.4,0.144,0.01173,-0.04703,0.52,0.249,0.03043,-0.06407,0.52,0.475
0.15,-1.0,0.45,none,1,0.5,43,43,0.00146,-0.03179,0.4419,0.046,0.00121,-0.04786,0.4186,0.025,0.02368,-0.06105,0.5349,0.388
0.25,-1.5,none,1,1,0.5,20,20,-0.00548,-0.04683,0.35,-0.117,0.02385,-0.06169,0.55,0.387,0.02515,-0.06865,0.5,0.366
0.2,-1.0,0.45,none,1,0.5,54,54,0.00657,-0.031,0.4444,0.212,0.00341,-0.04494,0.4815,0.076,0.02132,-0.06061,0.5,0.352
0.25,none,none,1,1,0.5,21,21,-0.00562,-0.04673,0.3333,-0.12,0.02109,-0.06088,0.5238,0.346,0.02227,-0.0688,0.4762,0.324
0.25,-1.0,0.45,none,1,0.5,67,67,0.00585,-0.03249,0.4627,0.18,0.0073,-0.04497,0.4925,0.162,0.01686,-0.06189,0.4478,0.272
0.25,-0.5,0.45,none,0,0.5,104,104,0.01457,-0.02779,0.5673,0.524,0.01495,-0.04079,0.5385,0.366,0.01504,-0.05858,0.4519,0.257
0.1,-0.5,none,1,0,none,35,35,0.00409,-0.02922,0.4571,0.14,0.00429,-0.04324,0.4286,0.099,0.01513,-0.06251,0.5143,0.242
0.2,-0.5,none,1,1,0.7,20,20,0.00566,-0.0445,0.45,0.127,0.00536,-0.06338,0.5,0.085,0.01726,-0.07554,0.55,0.229
0.1,-1.0,none,1,0,none,36,36,0.00335,-0.02921,0.4444,0.115,0.00328,-0.04311,0.4167,0.076,0.01422,-0.06207,0.5,0.229
0.2,-1.0,none,1,1,0.7,20,20,0.00566,-0.0445,0.45,0.127,0.00536,-0.06338,0.5,0.085,0.01726,-0.07554,0.55,0.229
0.25,-1.0,0.45,none,0,0.5,150,150,0.00705,-0.03192,0.52,0.221,0.01142,-0.04414,0.54,0.259,0.01343,-0.0605,0.4467,0.222
0.1,-1.0,none,none,0,0.5,378,378,0.00258,-0.03307,0.5079,0.078,0.00599,-0.04884,0.4974,0.123,0.01387,-0.06731,0.5026,0.206
0.2,-1.5,none,1,1,0.7,22,22,0.00112,-0.045,0.4091,0.025,-0.00048,-0.06479,0.4545,-0.007,0.0157,-0.07637,0.5455,0.206
0.15,-1.0,none,none,0,0.5,457,457,0.00524,-0.03289,0.5011,0.159,0.00747,-0.04898,0.4858,0.153,0.01279,-0.06912,0.4989,0.185
0.1,-0.5,none,none,0,0.5,315,315,0.0035,-0.03312,0.5143,0.106,0.00392,-0.04933,0.4698,0.08,0.01238,-0.06888,0.4921,0.18
0.1,-1.0,0.45,none,1,0.7,65,65,0.00724,-0.02809,0.5385,0.258,0.00706,-0.04328,0.5385,0.163,0.01185,-0.06637,0.5231,0.179
0.1,-1.5,none,0,0,0.5,384,384,0.00135,-0.03439,0.4818,0.039,0.00264,-0.05207,0.4818,0.051,0.0124,-0.06949,0.4974,0.178
0.1,-1.0,none,0,0,0.5,338,338,0.00105,-0.03449,0.5,0.031,0.00345,-0.0513,0.4793,0.067,0.01229,-0.06891,0.5089,0.178
