model_name,mode,feature,gain_importance,perm_importance,fold_count,rank_score
trade_ret_20_reg,trade,ret_5,0.3688145,,2,0.18440725
trade_ret_20_reg,trade,bb_width_norm,0.049433000000000005,,2,0.024716500000000002
trade_ret_20_reg,trade,range_width_atr,0.046624,,2,0.023312
trade_ret_20_reg,trade,score_rope_total,0.045112,,2,0.022556
trade_ret_20_reg,trade,w_dsa_trade_range_width_pct,0.038005,,2,0.0190025
trade_ret_20_reg,trade,ret_3,0.030926,,2,0.015463
trade_ret_20_reg,trade,bb_pos_01,0.028410499999999998,,2,0.014205249999999999
trade_ret_20_reg,trade,dsa_trade_range_width_pct,0.028365,,2,0.0141825
trade_ret_20_reg,trade,score_setup_total,0.0283375,,2,0.01416875
trade_ret_20_reg,trade,trend_gap_10_20,0.0277025,,2,0.01385125
trade_ret_20_reg,trade,score_trend_total,0.0276165,,2,0.01380825
trade_ret_20_reg,trade,ret_1,0.027126,,2,0.013563
trade_ret_20_reg,trade,rope_pivot_pos_01,0.025011,,2,0.0125055
trade_ret_20_reg,trade,score_width_total,0.0226665,,2,0.01133325
trade_ret_20_reg,trade,vol_z_20,0.020068,,2,0.010034
trade_ret_20_reg,trade,score_volume_total,0.0189885,,2,0.00949425
trade_ret_20_reg,trade,vol_ratio_20,0.0185915,,2,0.00929575
trade_ret_20_reg,trade,position_in_structure,0.0173305,,2,0.00866525
trade_ret_20_reg,trade,w_sample_count,0.0139595,,2,0.00697975
trade_ret_20_reg,trade,rope_slope_atr_5,0.013378,,2,0.006689
trade_ret_20_reg,trade,range_break_up_strength,0.012774,,2,0.006387
trade_ret_20_reg,trade,bb_width_percentile,0.012490500000000002,,2,0.006245250000000001
trade_ret_20_reg,trade,bb_width_change_5,0.012063,,2,0.0060315
trade_ret_20_reg,trade,w_factor_available,0.010661,,2,0.0053305
trade_ret_20_reg,trade,w_dsa_trade_dist_to_high_01,0.009276,,2,0.004638
trade_ret_20_reg,trade,dsa_trade_dist_to_high_01,0.0080445,,2,0.00402225
trade_ret_20_reg,trade,dsa_trade_dist_to_low_01,0.0072965,,2,0.00364825
trade_ret_20_reg,trade,w_dsa_trade_pos_01,0.005249,,2,0.0026245
trade_ret_20_reg,trade,dsa_trade_pos_01,0.0044145,,2,0.00220725
trade_ret_20_reg,trade,w_dsa_trade_dist_to_low_01,0.004406,,2,0.002203
trade_ret_20_reg,trade,range_pos_01,0.0040875,,2,0.00204375
trade_ret_20_reg,trade,bb_expand_streak,0.0032585,,2,0.00162925
trade_ret_20_reg,trade,channel_pos_01,0.002404,,2,0.001202
trade_ret_20_reg,trade,bb_contract_streak,0.002266,,2,0.001133
trade_ret_20_reg,trade,dist_to_rope_atr,0.0019104999999999999,,2,0.0009552499999999999
trade_ret_20_reg,trade,range_break_up,0.0011705,,2,0.00058525
trade_ret_20_reg,trade,dir_consistent,0.000956,,2,0.000478
trade_ret_20_reg,trade,bb_contracting,0.000419,,2,0.0002095
trade_ret_20_reg,trade,bars_since_dir_change,0.000306,,2,0.000153
trade_ret_20_reg,trade,bb_expanding,8.1e-05,,2,4.05e-05
trade_ret_20_reg,trade,dsa_trade_breakout_20,0.0,,2,0.0
