dsa_confirmed_pos_max,dsa_trade_pos_max,bb_width_norm_max,bb_pos_min,bb_pos_max,rope_pivot_pos_max,bars_since_dir_change_max,w_dsa_signed_vwap_dev_min,weekly_mode,weekly_prev_down_range,trigger_type,stage,n,ret_5,mae_5,wr_5,rr_5,ret_10,mae_10,wr_10,rr_10,ret_20,mae_20,wr_20,rr_20,ret_60,mae_60,wr_60,rr_60,year_rr_std,rank_score,trigger_none_pct,trigger_expand_only_pct,trigger_break_only_pct,trigger_expand_and_break_pct,ret_5_min
0.38,0.55,0.2,0.4,0.95,0.7,15,-99.0,strict,none,expand_only,weekly_trigger,13,0.00528,-0.02915,0.5385,0.181,0.02632,-0.02987,0.7692,0.881,0.05546,-0.03343,0.8462,1.659,0.02537,-0.08149,0.6923,0.311,0.0,4.2136,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.7,15,-99.0,off,none,expand_only,weekly_trigger,28,0.00973,-0.03807,0.5714,0.255,0.02879,-0.04515,0.7857,0.638,0.05396,-0.05317,0.7857,1.015,0.08226,-0.09734,0.6786,0.845,0.0225,3.9154,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.7,15,-99.0,soft,none,expand_only,weekly_trigger,28,0.00973,-0.03807,0.5714,0.255,0.02879,-0.04515,0.7857,0.638,0.05396,-0.05317,0.7857,1.015,0.08226,-0.09734,0.6786,0.845,0.0225,3.9154,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,strict,none,expand_only,weekly_trigger,14,0.00551,-0.02821,0.5714,0.195,0.02271,-0.03028,0.7143,0.75,0.05034,-0.03359,0.7857,1.499,0.02682,-0.07947,0.7143,0.337,0.0,3.8713,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,soft,none,expand_only,trigger,32,0.00427,-0.04107,0.5625,0.104,0.01818,-0.05323,0.7188,0.341,0.04345,-0.06183,0.7188,0.703,0.05631,-0.11458,0.625,0.491,0.5009,2.7703,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,off,none,expand_only,weekly_trigger,32,0.00427,-0.04107,0.5625,0.104,0.01818,-0.05323,0.7188,0.341,0.04345,-0.06183,0.7188,0.703,0.05631,-0.11458,0.625,0.491,0.5009,2.7703,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,soft,none,expand_only,weekly_trigger,32,0.00427,-0.04107,0.5625,0.104,0.01818,-0.05323,0.7188,0.341,0.04345,-0.06183,0.7188,0.703,0.05631,-0.11458,0.625,0.491,0.5009,2.7703,0.0,1.0,0.0,0.0,
0.38,0.55,0.2,0.5,1.0,0.9,15,-99.0,soft,none,none,structure,14,0.00847,-0.02593,0.5,0.327,0.01666,-0.03454,0.5,0.482,-0.0155,-0.06431,0.4286,-0.241,-0.0756,-0.16963,0.3571,-0.446,0.0,0.0337,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,1.0,0.9,15,-99.0,soft,none,none,structure,18,0.01081,-0.02493,0.5556,0.434,0.01663,-0.03173,0.5556,0.524,-0.01604,-0.06199,0.3889,-0.259,-0.06959,-0.16527,0.3333,-0.421,0.0,-0.0392,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,soft,none,none,trigger,17,0.00137,-0.0253,0.5294,0.054,0.00971,-0.03251,0.5294,0.299,-0.02162,-0.06455,0.3529,-0.335,-0.07463,-0.1739,0.2941,-0.429,0.0,-0.3498,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.9,0.9,15,-99.0,soft,none,none,structure,17,0.00137,-0.0253,0.5294,0.054,0.00971,-0.03251,0.5294,0.299,-0.02162,-0.06455,0.3529,-0.335,-0.07463,-0.1739,0.2941,-0.429,0.0,-0.3498,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,off,none,none,weekly_trigger,17,0.00137,-0.0253,0.5294,0.054,0.00971,-0.03251,0.5294,0.299,-0.02162,-0.06455,0.3529,-0.335,-0.07463,-0.1739,0.2941,-0.429,0.0,-0.3498,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,soft,none,none,weekly_trigger,17,0.00137,-0.0253,0.5294,0.054,0.00971,-0.03251,0.5294,0.299,-0.02162,-0.06455,0.3529,-0.335,-0.07463,-0.1739,0.2941,-0.429,0.0,-0.3498,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.95,0.9,15,-99.0,soft,none,none,weekly_filter,17,0.00137,-0.0253,0.5294,0.054,0.00971,-0.03251,0.5294,0.299,-0.02162,-0.06455,0.3529,-0.335,-0.07463,-0.1739,0.2941,-0.429,0.0,-0.3498,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.5,0.9,0.9,15,-99.0,soft,none,none,structure,13,-0.00406,-0.0265,0.4615,-0.153,0.00761,-0.03577,0.4615,0.213,-0.02274,-0.06783,0.3846,-0.335,-0.08266,-0.18125,0.3077,-0.456,0.0,-0.3641,1.0,0.0,0.0,0.0,
0.38,0.45,0.18,0.4,0.95,0.9,15,-99.0,soft,none,none,structure,16,-0.00078,-0.02639,0.5,-0.03,0.00953,-0.03405,0.5,0.28,-0.0285,-0.06468,0.3125,-0.441,-0.06002,-0.16389,0.3125,-0.366,0.0,-0.6772,1.0,0.0,0.0,0.0,
0.38,0.55,0.18,0.4,0.95,0.9,15,-99.0,soft,none,none,structure,16,-0.00078,-0.02639,0.5,-0.03,0.00953,-0.03405,0.5,0.28,-0.0285,-0.06468,0.3125,-0.441,-0.06002,-0.16389,0.3125,-0.366,0.0,-0.6772,1.0,0.0,0.0,0.0,
0.38,0.55,0.2,0.4,0.8,0.9,15,-99.0,soft,none,none,structure,15,0.00203,-0.0253,0.6,0.08,0.00078,-0.03263,0.4667,0.024,-0.03116,-0.06894,0.3333,-0.452,-0.0958,-0.18706,0.2,-0.512,0.0,-0.8194,1.0,0.0,0.0,0.0,
0.38,0.45,0.24,0.4,0.95,0.9,15,-99.0,soft,none,none,structure,19,0.00919,-0.02505,0.5789,0.367,0.02597,-0.0315,0.5789,0.825,-0.00188,-0.06016,0.4211,-0.031,-0.06221,-0.17036,0.3684,-0.365,2.067,-1.455,1.0,0.0,0.0,0.0,
0.38,0.55,0.24,0.4,0.95,0.9,15,-99.0,soft,none,none,structure,19,0.00919,-0.02505,0.5789,0.367,0.02597,-0.0315,0.5789,0.825,-0.00188,-0.06016,0.4211,-0.031,-0.06221,-0.17036,0.3684,-0.365,2.067,-1.455,1.0,0.0,0.0,0.0,
