feature,bucket,n,mean_value,ret20,dd20,wr20,rr20,is_best_bucket
dsa_confirmed_pivot_pos_01,Q1,91,0.176484,0.04623,-0.07682,0.5604,2.826,0
dsa_confirmed_pivot_pos_01,Q2,90,0.30994,0.04302,-0.06782,0.6222,10.963,1
dsa_confirmed_pivot_pos_01,Q3,90,0.367418,0.08074,-0.06015,0.7333,3.19,0
dsa_confirmed_pivot_pos_01,Q4,90,0.417974,0.05055,-0.05768,0.6556,6.184,0
dsa_confirmed_pivot_pos_01,Q5,90,0.533619,-0.02744,-0.10397,0.2667,1.785,0
w_dsa_signed_vwap_dev_pct,Q1,94,-31.056001,0.0117,-0.09024,0.4894,1.08,0
w_dsa_signed_vwap_dev_pct,Q2,93,-16.86285,0.00718,-0.08239,0.4946,3.006,0
w_dsa_signed_vwap_dev_pct,Q3,93,-8.00603,0.03919,-0.06313,0.5376,4.775,0
w_dsa_signed_vwap_dev_pct,Q4,93,0.872692,0.01208,-0.07122,0.5806,9.33,1
w_dsa_signed_vwap_dev_pct,Q5,94,11.351143,0.0051,-0.08104,0.4681,2.87,0
lh_hh_low_pos,Q1,106,0.230102,0.0505,-0.07648,0.5943,4.105,0
lh_hh_low_pos,Q2,106,0.323144,0.03504,-0.07821,0.5472,3.446,0
lh_hh_low_pos,Q3,106,0.371451,0.04011,-0.06703,0.6038,2.419,0
lh_hh_low_pos,Q4,106,0.409671,0.02571,-0.07228,0.566,4.85,0
lh_hh_low_pos,Q5,106,0.447669,0.02168,-0.0774,0.5189,9.045,1
dsa_trend_aligned_vwap_dev_pct,Q1,108,2.884701,0.01476,-0.06321,0.537,7.804,1
dsa_trend_aligned_vwap_dev_pct,Q2,107,7.322254,0.00335,-0.07239,0.4579,1.917,0
dsa_trend_aligned_vwap_dev_pct,Q3,108,10.977408,0.04086,-0.08249,0.5556,5.349,0
dsa_trend_aligned_vwap_dev_pct,Q4,107,15.353511,0.03102,-0.07541,0.5794,4.031,0
dsa_trend_aligned_vwap_dev_pct,Q5,108,24.639888,0.08222,-0.07519,0.7037,4.836,0
prev_confirmed_down_bars,Q1,113,16.973451,0.04,-0.07136,0.5575,4.257,0
prev_confirmed_down_bars,Q2,105,34.238095,0.05229,-0.06726,0.6095,5.72,0
prev_confirmed_down_bars,Q3,110,52.145455,0.01728,-0.08437,0.5455,1.881,0
prev_confirmed_down_bars,Q4,105,76.504762,0.0175,-0.07751,0.4952,7.574,1
prev_confirmed_down_bars,Q5,105,157.428571,0.04587,-0.06788,0.6286,4.609,0
current_run_bars,Q1,132,6.992424,0.03268,-0.09393,0.5758,3.038,0
current_run_bars,Q2,93,12.172043,0.01061,-0.08026,0.4731,3.138,0
current_run_bars,Q3,115,14.86087,0.04105,-0.05521,0.5826,3.985,0
current_run_bars,Q4,127,18.204724,0.04388,-0.06836,0.5984,8.594,1
current_run_bars,Q5,71,20.0,0.04187,-0.06727,0.5915,4.772,0
prev_confirmed_up_bars,Q1,110,17.754545,0.02124,-0.06539,0.5818,2.245,0
prev_confirmed_up_bars,Q2,106,37.669811,0.0076,-0.0988,0.434,2.502,0
prev_confirmed_up_bars,Q3,102,52.578431,0.04913,-0.06895,0.6176,5.267,0
prev_confirmed_up_bars,Q4,109,72.559633,0.05278,-0.06525,0.5963,5.054,0
prev_confirmed_up_bars,Q5,103,120.873786,0.04307,-0.07338,0.6019,9.264,1
dsa_signed_vwap_dev_pct,Q1,108,-24.639888,0.08222,-0.07519,0.7037,4.836,0
dsa_signed_vwap_dev_pct,Q2,107,-15.353511,0.03102,-0.07541,0.5794,4.031,0
dsa_signed_vwap_dev_pct,Q3,108,-10.958892,0.04038,-0.08235,0.5463,5.342,0
dsa_signed_vwap_dev_pct,Q4,107,-7.177765,0.01203,-0.06955,0.5047,2.07,0
dsa_signed_vwap_dev_pct,Q5,108,-0.895868,0.00665,-0.06616,0.5,7.606,1
