feature,bucket,n,mean_value,ret20,dd20,wr20,rr20,is_best_bucket
ret_5,Q1,108,-0.081181,-0.06889,-0.17164,0.2222,-0.203,0
ret_5,Q2,107,-0.01868,-0.00962,-0.07704,0.3178,0.236,0
ret_5,Q3,108,0.00542,0.03027,-0.0459,0.6389,2.993,0
ret_5,Q4,107,0.03155,0.05752,-0.04594,0.7477,9.789,0
ret_5,Q5,108,0.122388,0.16307,-0.02794,0.9074,12.678,1
bb_width_norm,Q1,107,0.083391,0.01777,-0.05136,0.486,7.824,1
bb_width_norm,Q2,107,0.128703,0.01274,-0.07572,0.5327,2.993,0
bb_width_norm,Q3,106,0.171133,-0.01506,-0.09937,0.4245,2.287,0
bb_width_norm,Q4,107,0.238877,0.04202,-0.07854,0.6075,4.762,0
bb_width_norm,Q5,107,0.522599,0.11377,-0.06521,0.7664,6.048,0
range_width_atr,Q1,108,1.708488,-0.00263,-0.10806,0.4259,3.272,0
range_width_atr,Q2,107,1.904456,0.05436,-0.07617,0.6168,3.8,0
range_width_atr,Q3,108,1.98388,0.03768,-0.08173,0.5833,4.995,0
range_width_atr,Q4,107,2.07382,0.05693,-0.05093,0.6168,8.431,1
range_width_atr,Q5,108,2.258335,0.0266,-0.0516,0.5926,3.396,0
score_rope_total,Q1,108,0.440991,0.06863,-0.07942,0.6204,4.094,0
score_rope_total,Q2,107,0.507011,0.04046,-0.06763,0.6449,3.262,0
score_rope_total,Q3,108,0.538264,0.02608,-0.06992,0.5556,4.101,0
score_rope_total,Q4,107,0.674167,0.02637,-0.06878,0.514,5.016,0
score_rope_total,Q5,108,0.847256,0.01099,-0.08284,0.5,7.393,1
w_dsa_trade_range_width_pct,Q1,92,0.210841,0.00258,-0.05683,0.4783,8.286,1
w_dsa_trade_range_width_pct,Q2,92,0.311112,0.00817,-0.08086,0.4674,2.676,0
w_dsa_trade_range_width_pct,Q3,91,0.423796,0.02929,-0.07127,0.5824,4.789,0
w_dsa_trade_range_width_pct,Q4,92,0.565704,0.00878,-0.09329,0.4891,2.745,0
w_dsa_trade_range_width_pct,Q5,92,0.847209,0.02491,-0.08949,0.5326,2.602,0
ret_3,Q1,108,-0.035026,0.03662,-0.0629,0.5556,9.204,1
ret_3,Q2,107,0.011717,0.01559,-0.06066,0.5701,3.028,0
ret_3,Q3,108,0.044352,0.0091,-0.06716,0.4722,3.532,0
ret_3,Q4,107,0.084602,0.02838,-0.08225,0.5888,4.126,0
ret_3,Q5,108,0.152666,0.08261,-0.09568,0.6481,4.123,0
bb_pos_01,Q1,107,0.414636,0.08242,-0.06049,0.6636,4.764,0
bb_pos_01,Q2,107,0.558606,0.03025,-0.07628,0.5888,4.715,0
bb_pos_01,Q3,106,0.681299,0.02109,-0.07804,0.566,8.656,1
bb_pos_01,Q4,107,0.832038,0.02164,-0.07618,0.5234,1.776,0
bb_pos_01,Q5,107,0.987498,0.01617,-0.07901,0.4766,4.096,0
dsa_trade_range_width_pct,Q1,108,0.170365,0.01817,-0.04823,0.5185,7.464,1
dsa_trade_range_width_pct,Q2,107,0.256006,0.0063,-0.08004,0.5047,3.54,0
dsa_trade_range_width_pct,Q3,108,0.35111,0.01361,-0.0859,0.5093,3.483,0
dsa_trade_range_width_pct,Q4,107,0.485287,0.02221,-0.09614,0.5514,3.624,0
dsa_trade_range_width_pct,Q5,108,0.768932,0.11188,-0.05864,0.75,5.835,0
