symbol,datetime,close,ret_5,ret_10,ret_20,ret_60,max_dd_20,rr_20,dsa_confirmed_pivot_pos_01,dsa_trade_pos_01,bb_width_norm,bb_pos_01,rope_pivot_pos_01,bars_since_dir_change,w_dsa_signed_vwap_dev_pct,w_prev_confirmed_down_bars,trigger_type,bb_expanding,range_break_up,dsa_trade_breakout_20,rule_rank
600802.SH,2023-11-03 07:00:00,5.21,0.01151631477927056,0.015355086372360858,0.030710172744721716,-0.06142034548944343,-0.0019193857965450647,16.000000000000355,0.3223140495867766,0.42857142857142816,0.09397351407193914,0.5895957389985129,0.6249999999999998,7.0,1.725934510320701,14.0,expand_only,1.0,0.0,0.0,1
300758.SZ,2024-09-11 07:00:00,10.64,-0.06484962406015049,0.06860902255639084,0.2791353383458645,0.2105263157894737,-0.07330827067669184,3.8076923076923,0.11465721040189134,0.41810344827586227,0.17965451661324763,0.6926858352564068,0.30769230769230826,3.0,10.412232550851016,54.0,expand_only,1.0,0.0,0.0,1
300035.SZ,2025-01-23 07:00:00,14.68,0.049727520435967336,0.005449591280653956,0.12738419618528618,0.024523160762942742,-0.014986376021798288,8.500000000000048,0.29473684210526313,0.3888888888888888,0.1826702777577125,0.6370353973867233,0.5209790209790208,3.0,21.117323286470118,92.0,expand_only,1.0,0.0,0.0,1
000599.SZ,2025-04-15 07:00:00,4.66,-0.023605150214592342,-0.049356223175965754,0.040772532188841096,0.09012875536480684,-0.06223175965665237,0.6551724137931016,0.2640692640692642,0.40952380952380935,0.16329251228371633,0.5144899493768521,0.4166666666666669,5.0,6.967151157209961,45.0,expand_only,1.0,0.0,0.0,1
600279.SH,2025-04-15 07:00:00,5.1,0.07647058823529423,0.111764705882353,0.1294117647058824,0.12156862745098042,-0.009803921568627416,13.20000000000005,0.3450292397660818,0.39864864864864846,0.12778198984780498,0.4633450632988794,0.15384615384615322,3.0,10.4415199094288,37.0,expand_only,1.0,0.0,0.0,1
300077.SZ,2025-07-02 07:00:00,24.83,-0.0032219089810712163,0.012082158679017347,0.008457511075312157,0.023761578735400864,-0.017317760773258147,0.48837209302325807,0.2695004382120946,0.44787644787644726,0.1610733600978423,0.682749975244822,0.44787644787644726,5.0,1.5068126129469035,64.0,expand_only,1.0,0.0,0.0,1
600528.SH,2025-10-23 07:00:00,8.64,-0.02662037037037042,-0.019675925925925916,-0.03935185185185183,-0.030092592592592567,-0.046296296296296335,-0.8499999999999989,0.3100616016427106,0.40157480314960625,0.07947638469768599,0.7905339269454797,0.4615384615384624,1.0,-2.743933228732351,44.0,expand_only,1.0,0.0,0.0,1
002349.SZ,2025-10-27 07:00:00,7.42,0.03234501347708898,0.07412398921832881,0.03638814016172513,0.0296495956873315,-0.01617250673854449,2.2500000000000018,0.3362068965517241,0.40624999999999967,0.07427475932345856,0.7325752695296869,0.45945945945945915,3.0,-0.23697781959876635,100.0,expand_only,1.0,0.0,0.0,1
002732.SZ,2025-10-29 07:00:00,17.1,0.03216374269005831,0.05847953216374269,0.04502923976608184,0.03216374269005831,-0.0023391812865498655,19.24999999999869,0.2513368983957224,0.4392523364485986,0.08812911002458475,0.6251197776662558,0.2546583850931679,4.0,2.9499645101649152,64.0,expand_only,1.0,0.0,0.0,1
002644.SZ,2025-10-30 07:00:00,8.89,0.017997750281214864,0.05061867266591668,0.014623172103486952,0.04049493813273334,-0.03262092238470202,0.44827586206896064,0.14450867052023125,0.4098360655737709,0.08496825553580416,0.5385175415210841,0.22500000000000045,6.0,1.4283340575506343,72.0,expand_only,1.0,0.0,0.0,1
