symbol,trade_n,ret_mean,wr,rr_mean
000612.SZ,6,-0.0363999651078062,0.5,1.0687131279982922
300986.SZ,7,0.0798703756406176,0.2857142857142857,3.077039192879391
002674.SZ,2,0.0976780457281757,1.0,9.95101315539869
688558.SH,6,-0.0955462405716675,0.1666666666666666,-0.3681768802518013
002037.SZ,5,-0.0629986937521414,0.2,-0.1194570434987274
603890.SH,4,0.1961615182906444,0.75,3.5500315291404902
688249.SH,5,-0.0167320873061106,0.4,0.0850134632284936
002137.SZ,8,0.0632529737448712,0.75,7.128166824936152
002315.SZ,4,0.0415951021968274,0.5,2.0371298259546355
688317.SH,10,-0.0843728871071839,0.2,-0.5317880405215417
002011.SZ,6,0.130717118049632,0.6666666666666666,3.542803531967615
300999.SZ,9,-0.0063673946166178,0.3333333333333333,1.086771922511602
600980.SH,4,0.0821452545341005,1.0,6.9187773959429775
300835.SZ,7,0.0218248310357557,0.5714285714285714,10.407332520103564
600076.SH,5,-0.059152163169129,0.4,1.876596489308432
603096.SH,5,-0.0817603623424259,0.2,0.4782350773713666
002461.SZ,3,-0.0152380916297263,0.3333333333333333,-0.2790235859588274
603076.SH,7,-0.0583636067851947,0.2857142857142857,-0.3425876123898267
300300.SZ,7,0.0389135613177171,0.5714285714285714,2.024470175872341
301103.SZ,7,-0.0670915935927054,0.4285714285714285,-0.2932130674067124
603135.SH,5,-0.0237764182887098,0.4,0.0360417527558176
002743.SZ,6,0.0808450078012836,0.6666666666666666,4.228239280884675
300394.SZ,6,0.0831603952475565,0.5,30.921046778773157
688428.SH,3,0.1063673294558024,0.3333333333333333,2.9419779966770983
600266.SH,9,0.0038043424471875,0.4444444444444444,0.1020089966298645
300181.SZ,2,-0.0368102618742593,0.5,-0.1690128300884549
603737.SH,7,0.1996733970787846,0.7142857142857143,4.310413089448639
300901.SZ,2,0.0424940123664545,1.0,1.158173280503485
601222.SH,6,0.0591436436993288,0.6666666666666666,1.8408330857364783
688496.SH,7,0.0963724452437432,0.5714285714285714,8.700195363138246
601778.SH,9,0.025238068154112,0.3333333333333333,0.6903331420554132
688358.SH,6,0.0195986694052661,0.5,2.4676984064432093
688484.SH,5,0.0288519843501758,0.4,2.040500650569383
300749.SZ,3,-0.0291821022348467,0.3333333333333333,-0.1601247771327187
002431.SZ,9,-0.0011457210003573,0.4444444444444444,18.238464803424932
600690.SH,1,0.0494569709015501,1.0,0.8087877615323001
300468.SZ,8,0.026015487763182,0.5,3.221192969865881
002259.SZ,2,-0.0632865642957816,0.0,-0.6170398018562049
688326.SH,6,-0.0424356955726196,0.1666666666666666,7.6477504764384685
600067.SH,5,0.0663236727020716,0.6,1.302277312262902
000061.SZ,6,0.0427810655452811,0.5,1.7694096453160837
300967.SZ,5,0.0875130362740068,0.4,58.14637891544005
002066.SZ,2,0.1008919999832557,1.0,9.014891414994151
300041.SZ,4,0.1347375382373311,0.5,8.037167656260992
603833.SH,5,0.1489782347626705,0.6,7.279862511341709
300348.SZ,10,0.0248185004925568,0.5,1.6296230845992614
300617.SZ,4,0.0437959419198741,0.25,1.0075008418798697
300071.SZ,7,0.0361254287978044,0.4285714285714285,0.7346150866445225
002105.SZ,5,-0.0356634765694653,0.6,-0.1201253666000669
