datetime,open,high,low,close,volume,amount,dsa_vwap,dsa_dir,lh_hh_low_pos,bull_vwap_dev_pct,rope,upper,lower,rope_dir,c_hi,c_lo,is_consolidating,bars_since_dir_change,consolidation_bars,dist_to_rope_atr,dist_to_upper_atr,dist_to_lower_atr,rope_slope_atr_5,rope_slope_pct_5,range_width_atr,dist_to_range_high_atr,dist_to_range_low_atr,range_break_up,range_break_down,range_break_up_strength,range_break_down_strength,range_width_atr_ffill,dist_to_range_high_atr_ffill,dist_to_range_low_atr_ffill,range_high_1,range_low_1,range_high_2,range_low_2,is_trailing_pivot_high,is_trailing_pivot_low,last_pivot_high,prev_pivot_high,last_pivot_low,prev_pivot_low,pivot_high_type,pivot_low_type,breakout_level,active_breakout_retest,bullish_bos,bullish_choch,bars_since_bullish_bos,bars_since_bullish_choch,bullish_ob_low,bullish_ob_high,bullish_ob_age,dist_to_bullish_ob_atr,retrace_50,dist_to_retrace50_atr,support_cluster_count,cluster1_contribution,cluster2_contribution,cluster3_contribution,support_raw,break_penalty,cluster1_state,cluster1_distance_atr,source_quality_score,freshness_quality_score,position_quality_score,confluence_quality_score,support_score,dsa_bull_flag,rope_bull_flag,above_dsa_vwap_flag,above_rope_flag
2024-08-02 15:00:00,28.88,30.48,28.88,30.3,30803932.0,922136192.0,29.886666666666667,-1.0,,0.0,30.3,,,0.0,,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,1.0,0.0
2024-08-05 15:00:00,29.2,30.19,28.98,29.66,37259352.0,1100536448.0,29.87534818396384,-1.0,,0.0,29.66,,,0.0,,,1.0,1.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-06 15:00:00,29.32,29.58,28.62,29.02,25229104.0,732988224.0,29.852989185496618,-1.0,,0.0,29.02,,,0.0,,,1.0,2.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-07 15:00:00,28.6,29.31,28.57,28.92,14433372.0,418240768.0,29.83805091077143,-1.0,,0.0,28.92,,,0.0,,,1.0,3.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-08 15:00:00,28.7,28.98,28.26,28.53,15808510.0,450575648.0,29.81547964888287,-1.0,,0.0,28.53,,,0.0,,,1.0,4.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-09 15:00:00,28.95,29.32,28.83,28.98,16672813.0,485081728.0,29.800527613921563,-1.0,,0.0,28.98,,,0.0,,,1.0,5.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-12 15:00:00,29.06,29.09,28.51,28.88,8803773.0,253319712.0,29.790326771549317,-1.0,,0.0,28.88,,,0.0,,,1.0,6.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-13 15:00:00,29.3,29.5,28.71,28.97,17071346.0,495035008.0,29.775286029695152,-1.0,,0.0,28.97,,,0.0,,,1.0,7.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-14 15:00:00,28.86,29.15,28.76,28.9,8738089.0,252652336.0,29.766232805976507,-1.0,,0.0,28.9,,,0.0,,,1.0,8.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
2024-08-15 15:00:00,28.62,29.04,28.45,29.0,11206720.0,322425248.0,29.753002953100335,-1.0,,0.0,29.0,,,0.0,,,1.0,9.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,na,,,,,,,0.0,0.0,0.0,0.0
