removed_feature,baseline_ic,ablated_ic,ic_drop
ret_t1,0.3826,0.226,0.1566
vol_record_days,0.3826,0.3746,0.008
position_in_structure,0.3826,0.3748,0.0078
range_width_atr,0.3826,0.3765,0.0061
upper_wick_ratio,0.3826,0.3767,0.0059
score_candle_total,0.3826,0.3774,0.0052
breakout_quality_score,0.3826,0.3785,0.004
score_volume_total,0.3826,0.3792,0.0034
body_to_range,0.3826,0.3816,0.001
close_pos,0.3826,0.3819,0.0007
delta_pct,0.3826,0.382,0.0006
rope_dir,0.3826,0.3826,0.0
score_freshness_total,0.3826,0.3826,0.0
bull_pct,0.3826,0.3833,-0.0007
dist_to_rope_atr,0.3826,0.3837,-0.0011
vol_zscore,0.3826,0.385,-0.0024
score_trend_total,0.3826,0.3851,-0.0025
rope_slope_atr_5,0.3826,0.388,-0.0054
high_break_flag,0.3826,0.3888,-0.0062
dir_consistent,0.3826,0.3891,-0.0065
n_high_levels_broken,0.3826,0.3893,-0.0067
breakout_watch_flag,0.3826,0.3917,-0.0091
