fold,train_size,test_size,ic,rank_ic,mae,rmse
1,730,180,0.3940900199488813,0.33340554890989743,0.016767686564742652,0.026329371945100148
2,11298,180,0.3056357633615096,0.2771553687150104,0.015852847798809,0.028123972883825146
3,21866,180,0.14676388763934178,0.07926993631490684,0.05517062200170629,0.07180293415105796
4,32434,180,0.09772550468778474,0.2506661728242641,0.049714070873584704,0.13272503974455616
5,43002,180,0.15516454789469097,0.2720104529975205,0.08980123433039561,0.15052851407684872
6,53570,180,0.30270380015013826,0.35212403675010545,0.06323993980828149,0.08417127418926529
7,64138,180,0.0473977212228115,0.07436342654320154,0.07272311439847302,0.13609002280633276
8,74706,180,0.06730469734965863,0.09808169213593235,0.05252894167663942,0.06887587026018481
9,85274,180,-0.027851295725929603,-0.03133785070071569,0.0998196329970381,0.2466157781097144
10,95842,180,0.23118394763985223,0.19086767334152768,0.054637930664148106,0.07376243606302645
