feature,mean_abs_shap,mean_shap
position_in_structure,0.0005262643773914861,-7.851607882485351e-05
upper_wick_ratio,0.00021430351541319514,-7.151753441543033e-06
score_trend_total,0.00018528781729572753,7.006198899339095e-05
range_width_atr,0.000136666669905871,1.0262719184949493e-05
close_pos,0.00010430522245368599,-4.439925363078335e-06
score_volume_total,9.99327654854757e-05,5.474711621154209e-06
breakout_quality_score,3.2296755001894205e-05,1.393738039508563e-05
vol_zscore,3.1536785385326934e-05,6.5175259214310764e-06
rope_slope_atr_5,1.8947826854752402e-05,-1.6527129208575244e-06
bull_pct,1.8203399820630666e-05,9.104747370471497e-06
high_break_flag,0.0,0.0
n_high_levels_broken,0.0,0.0
dist_to_rope_atr,0.0,0.0
dir_consistent,0.0,0.0
rope_dir,0.0,0.0
score_candle_total,0.0,0.0
score_freshness_total,0.0,0.0
delta_pct,0.0,0.0
breakout_watch_flag,0.0,0.0
vol_record_days,0.0,0.0
body_to_range,0.0,0.0
