feature,gain,gain_pct,split,split_pct,scene
position_in_structure,38.187193917663535,18.87633760451507,131.5,9.868667917448407,sceneA_T0_reg
dir_consistent,27.263301308313384,13.476540874381909,27.3,2.0487804878048785,sceneA_T0_reg
rope_slope_atr_5,18.76628210634226,9.276373576562616,96.1,7.2120075046904315,sceneA_T0_reg
score_volume_total,18.75017025897905,9.268409318415864,134.7,10.108818011257037,sceneA_T0_reg
score_trend_total,16.975818766769954,8.391328434488395,88.3,6.626641651031896,sceneA_T0_reg
range_width_atr,13.784850223544344,6.813998619755582,140.7,10.559099437148218,sceneA_T0_reg
close_pos,11.995360272086305,5.92943463381723,89.3,6.7016885553470935,sceneA_T0_reg
upper_wick_ratio,11.179078930656033,5.525938052886808,90.6,6.799249530956848,sceneA_T0_reg
vol_zscore,10.923470231515239,5.399587944260451,105.3,7.902439024390246,sceneA_T0_reg
vol_record_days,8.25323579222022,4.0796625559741635,96.7,7.257035647279551,sceneA_T0_reg
body_to_range,8.227038677144538,4.066713042336185,102.5,7.692307692307694,sceneA_T0_reg
breakout_quality_score,6.480406725017429,3.2033342229793074,85.6,6.424015009380864,sceneA_T0_reg
score_candle_total,6.157863169634948,3.043897500378328,79.6,5.973733583489682,sceneA_T0_reg
dist_to_rope_atr,3.378939293627627,1.6702457632576748,50.5,3.7898686679174487,sceneA_T0_reg
bull_pct,1.2692965673020808,0.6274268430486479,4.3,0.32270168855534714,sceneA_T0_reg
n_high_levels_broken,0.3379777047783136,0.1670659874079828,5.6,0.4202626641651033,sceneA_T0_reg
delta_pct,0.2473492282704683,0.12226736400471543,2.1,0.15759849906191373,sceneA_T0_reg
high_break_flag,0.10080726090818644,0.04983010519160419,1.3,0.09756097560975611,sceneA_T0_reg
breakout_watch_flag,0.02348230965435505,0.011607556337475192,0.5,0.0375234521575985,sceneA_T0_reg
rope_dir,0.0,0.0,0.0,0.0,sceneA_T0_reg
score_freshness_total,0.0,0.0,0.0,0.0,sceneA_T0_reg
position_in_structure,36.75258557456546,15.706472553039255,141.1,11.147100647811662,sceneB_T1_reg
ret_t1,36.016278733313335,15.391806713563055,197.6,15.610680992257864,sceneB_T1_reg
