fold,train_size,test_size,ic,rank_ic,mae,rmse,acc
1,730,180,0.5416164170004589,0.459155783131585,0.20429557952295033,0.3010784445362298,0.8388888888888889
2,11357,180,0.41361343723323324,0.4267522281846374,0.33723858475672736,0.40332619995946917,0.7277777777777777
3,21984,180,0.11107734433686488,0.09863572667057245,0.3949141081127659,0.42163201121228827,0.7888888888888889
4,32611,180,0.16301921369692104,0.157518553715528,0.33092338163311075,0.35902488805017696,0.8888888888888888
5,43238,180,0.1523655046591377,0.15362533151119692,0.5444800936527403,0.5695508180783437,0.36666666666666664
6,53865,180,0.11291873578572348,0.12801110320057352,0.36384532066623393,0.3888824280670742,0.85
7,64492,180,-0.07470359661815781,-0.04796884618065302,0.470426935475183,0.49040144669778307,0.6055555555555555
8,75119,180,0.15161131429686237,0.16767243495202044,0.4265997529027248,0.4445325762526097,0.7388888888888889
9,85746,180,0.2985685050638584,0.20857132671908005,0.5287338886898779,0.5459281115295793,0.36666666666666664
10,96373,180,0.1431480775186832,0.13453064282831478,0.4076883209911077,0.4215877236746955,0.8222222222222222
