feature,mean_abs_shap,mean_shap
position_in_structure,0.005083329622391965,-0.00040531900903488565
rope_slope_atr_5,0.0030250461947920982,-0.0004404988397450306
range_width_atr,0.002862128122621663,-0.00023463149257013286
ret_t1,0.002841546899304066,0.00024214011281434002
score_volume_total,0.002801397531532583,0.0011464597395020339
vol_zscore,0.002634136580468505,-0.0004040697628307478
score_trend_total,0.0023909456224034532,-0.0002651628582668075
upper_wick_ratio,0.0017364863020107022,-0.00013995540938844785
dist_to_rope_atr,0.001313129634006812,-6.69565330126715e-05
vol_record_days,0.0012854093570140261,0.0002445507237163532
breakout_quality_score,0.0009144035447791545,0.000493522070565399
body_to_range,0.000679990398020341,5.973416855621364e-05
close_pos,0.0006262779796050778,0.00017119538837902305
dir_consistent,0.0005891528280564784,-0.00020897462893549492
score_candle_total,0.0005268045091095304,-3.629490122049442e-05
n_high_levels_broken,0.00021425865719031564,-9.853582132634798e-06
high_break_flag,0.0001221625851099794,-7.542410735508817e-05
bull_pct,0.00010120656556212608,-1.867756126534e-05
delta_pct,1.4609865117069521e-05,-2.8248333332394513e-06
score_freshness_total,0.0,0.0
rope_dir,0.0,0.0
breakout_watch_flag,0.0,0.0
