fold,train_size,test_size,ic,rank_ic,mae,rmse,acc
1,730,180,0.661762979227293,0.5420541304716268,0.2205688331497095,0.28052651720201,0.8888888888888888
2,11357,180,0.6704597515585728,0.6293500884322898,0.2249335430274087,0.32864112440345145,0.8222222222222222
3,21984,180,0.3541423588837134,0.31973108092095126,0.39245947828498634,0.41861926010821787,0.7888888888888889
4,32611,180,0.5164883121096401,0.3698106167765144,0.23273845063580248,0.3016893466170648,0.9166666666666666
5,43238,180,0.1963841823954368,0.1776134450862606,0.48200200370662005,0.4916282211934121,0.5555555555555556
6,53865,180,0.266724774526981,0.26724795088539544,0.32600568208563835,0.3669638855593352,0.85
7,64492,180,0.3670745767988589,0.31627132568923966,0.4670584062863655,0.4862109766257287,0.6055555555555555
8,75119,180,0.4372245842156702,0.38215506522993886,0.3567410091026891,0.4031309115960778,0.8
9,85746,180,0.31110118346203103,0.26802023543811765,0.4978278561247269,0.5354126795770168,0.42777777777777776
10,96373,180,0.3240362071739233,0.27719724705003157,0.39647438659584977,0.412100071159243,0.8222222222222222
