feature,mean_abs_shap,mean_shap
dir_consistent,0.029820079131009265,0.00011113811514617536
position_in_structure,0.02057107047557271,0.001692369787353209
score_trend_total,0.010065312029612562,-0.007162457394610157
vol_record_days,0.0072035036341035865,0.0023410227713177426
range_width_atr,0.00623604499792306,-0.00034654635346677634
breakout_quality_score,0.006111013607452437,-0.0008893762256727728
score_volume_total,0.005566656319964852,0.005473111318151073
upper_wick_ratio,0.004625300770334561,-0.00025039618607499353
score_candle_total,0.002151658395076219,2.9192759021709502e-05
rope_slope_atr_5,0.0020286892378510533,-0.0008889929932220536
vol_zscore,0.001567085206866057,0.00045090722280399635
close_pos,0.001413791466512349,7.126566109742292e-05
body_to_range,0.0002252361874963814,9.634192726460968e-06
dist_to_rope_atr,0.00015868262987687212,3.2580759134869465e-06
bull_pct,0.00011555361730453095,1.0860917704870046e-06
n_high_levels_broken,0.0,0.0
rope_dir,0.0,0.0
high_break_flag,0.0,0.0
score_freshness_total,0.0,0.0
delta_pct,0.0,0.0
breakout_watch_flag,0.0,0.0
