removed_feature,baseline_ic,ablated_ic,ic_drop
dir_consistent,0.1967,0.1104,0.0863
vol_record_days,0.1967,0.1908,0.0059
upper_wick_ratio,0.1967,0.1923,0.0044
score_freshness_total,0.1967,0.1967,0.0
rope_dir,0.1967,0.1967,0.0
vol_zscore,0.1967,0.1981,-0.0014
dist_to_rope_atr,0.1967,0.2059,-0.0092
breakout_watch_flag,0.1967,0.2089,-0.0122
breakout_quality_score,0.1967,0.2104,-0.0137
bull_pct,0.1967,0.2107,-0.014
body_to_range,0.1967,0.2112,-0.0145
rope_slope_atr_5,0.1967,0.2138,-0.0171
score_trend_total,0.1967,0.2153,-0.0186
range_width_atr,0.1967,0.2178,-0.0211
position_in_structure,0.1967,0.2181,-0.0214
score_candle_total,0.1967,0.2184,-0.0217
score_volume_total,0.1967,0.2196,-0.0229
n_high_levels_broken,0.1967,0.2205,-0.0238
close_pos,0.1967,0.2206,-0.0239
high_break_flag,0.1967,0.2214,-0.0247
delta_pct,0.1967,0.2216,-0.0249
