symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
603076.SH,131,2021-11-05 15:00:00,37.95,38.02589999999999,,171,2021-12-31 15:00:00,36.32,36.2292,40,40,hold_40,-0.04724937476824992,-0.09693130208620941,-0.4874521826419597,0.0,0.08199472548549512,-1.0,-38.40562601042061,0.17166147206904828,-4.032442322498701,0.0,1.0,0.30796712505877893,1.0,0.23008849557522124
603076.SH,382,2022-11-17 15:00:00,37.34,37.41468,,422,2023-01-13 15:00:00,38.51,38.413725,40,40,hold_40,0.02670195228183169,-0.15968812241612107,0.16721313944847307,1.0,0.4364521362898865,1.0,10.0985610869952,0.25772471910112377,-3.1788170385559207,2.0,1.0,0.059488884396439616,0.7939910537259035,0.375
603076.SH,626,2023-11-20 15:00:00,30.19,30.250379999999996,,666,2024-01-16 15:00:00,25.15,25.087125,40,40,hold_40,-0.17068397157324955,-0.18315075711445594,-0.9319315642609353,0.0,0.03661616161616162,-1.0,-31.413285615275026,0.14425531914893622,-8.183208788572387,0.0,1.0,0.14042811513923203,1.0,0.4583333333333333
603076.SH,686,2024-02-21 15:00:00,22.14,22.184279999999994,,726,2024-04-19 15:00:00,23.5,23.44125,40,40,hold_40,0.05666039195322122,-0.0804299260557474,0.7044690295245193,1.0,0.021805273833671385,-1.0,-46.72557683029178,0.17103326464527532,-9.85887702332617,0.0,1.0,0.17160873622540745,0.514036495231614,0.9583333333333334
603076.SH,933,2025-02-28 15:00:00,22.75,22.795499999999993,,973,2025-04-28 15:00:00,22.4,22.344,40,40,hold_40,-0.01980654076462426,-0.17571450505582223,-0.11272000998626709,0.0,0.15088967971530257,-1.0,-13.19072570390086,0.2652838427947598,-15.420752017262274,1.0,1.0,0.19435740406513843,0.48279066990315306,0.03333333333333333
603076.SH,1056,2025-08-27 15:00:00,30.31,30.37061999999999,,1096,2025-10-30 15:00:00,25.06,24.99735,40,40,hold_40,-0.17692328967930165,-0.22293321637819682,-0.793615651151593,0.0,0.46736927442237536,1.0,-1.8371905536029194,0.2093195266272188,-11.603329964992001,0.0,1.0,0.18799048125157616,1.0,0.24166666666666667
603076.SH,1150,2026-01-16 15:00:00,24.63,24.679259999999992,,1190,2026-03-23 15:00:00,22.83,22.772925,40,40,hold_40,-0.07724441494599077,-0.08182011940390403,-0.9440760476610239,0.0,0.31536278881232266,1.0,-11.457637678740815,0.11177428106348339,-4.132412086279795,0.0,1.0,0.08284968466960971,0.9164154541141932,0.2
