symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
002461.SZ,9,2021-05-07 15:00:00,10.78,10.801559999999997,,49,2021-07-05 15:00:00,10.64,10.6134,40,40,hold_40,-0.0174197060424602,-0.049211410203711066,-0.35397697343667195,0.0,0.017751479289940454,-1.0,-7.77149376080357,0.1495327102803732,-13.44517846822438,0.0,1.0,,,
002461.SZ,234,2022-04-11 15:00:00,7.73,7.745459999999999,,274,2022-06-10 15:00:00,7.8,7.7805,40,40,hold_40,0.004523940476098424,-0.0949536889997494,0.047643651592202636,1.0,0.13375796178343946,-1.0,-32.14330713095917,0.2623456790123459,-5.471216806939737,3.0,1.0,0.3795472414004279,0.6210922375948202,0.775
002461.SZ,1106,2025-11-13 15:00:00,9.84,9.859679999999997,,1146,2026-01-12 15:00:00,9.56,9.536100000000001,40,40,hold_40,-0.0328185093228174,-0.061835678237021637,-0.5307374360320128,0.0,0.4885764499121268,1.0,-6.1262032880093225,0.20195439739413665,-2.2163464538404574,0.0,1.0,0.3138332352963513,0.6521986412403894,0.875
