symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
300391.SZ,289,2022-05-13 15:00:00,10.73,10.751459999999998,10.53,291,2022-05-17 15:00:00,10.53,10.503675,2,40,stop_loss,-0.023046637386922208,-0.02245834519218769,-1.0261948148761717,0.0,0.10451612903225801,-1.0,-48.637137895370245,0.20180995475113125,-26.858726935445016,0.0,1.0,0.02529765936791538,0.6238290627410976,0.6333333333333333
300391.SZ,539,2023-05-23 15:00:00,8.19,8.206379999999998,7.43,549,2023-06-06 15:00:00,7.43,7.411425,10,40,stop_loss,-0.0968703618404214,-0.11044821224461919,-0.877065910545245,0.0,0.00941176470588236,-1.0,-42.490929068388304,0.22777777777777772,-8.123003520821529,0.0,1.0,0.371033659696478,1.0,0.4
300391.SZ,629,2023-09-28 15:00:00,6.51,6.523019999999998,6.31,631,2023-10-10 15:00:00,6.31,6.294225,2,40,stop_loss,-0.035075011267786727,-0.04338787862063859,-0.808405766376934,0.0,0.03825136612021859,-1.0,-36.325609654093064,0.12162162162162157,-1.7499656685383562,0.0,1.0,0.019247310223215543,1.0,0.09166666666666666
300391.SZ,725,2024-02-28 15:00:00,4.52,4.529039999999998,4.37,726,2024-02-29 15:00:00,4.37,4.359075000000001,1,40,stop_loss,-0.037527820465263664,-0.03511560948898627,-1.0686934104627734,0.0,0.03954802259887007,-1.0,-56.140631231053376,0.2838709677419354,-24.999213241583117,3.0,1.0,0.8162161793018143,0.3804691773600241,0.9333333333333333
300391.SZ,809,2024-07-03 15:00:00,3.37,3.3767399999999994,2.33,849,2024-08-28 15:00:00,3.38,3.37155,40,40,hold_40,-0.001536985376427964,-0.12341489128567776,-0.012453808129767647,0.0,0.003234750462107222,-1.0,-57.7143275316525,0.16815476190476186,-2.374831400833679,0.0,1.0,1.2786909617398654,1.0,0.5333333333333333
300391.SZ,957,2025-02-14 15:00:00,4.93,4.939859999999999,4.8,959,2025-02-18 15:00:00,4.8,4.788,2,40,stop_loss,-0.030741761912280584,-0.07689691610693401,-0.3997788658979591,0.0,0.10064338235294117,-1.0,-20.20228748307289,0.2721088435374149,-22.258177155311067,0.0,1.0,0.14719538372927682,0.7210739954811259,0.4583333333333333
