symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
300071.SZ,9,2021-04-30 15:00:00,1.72,1.7234399999999996,,49,2021-07-01 15:00:00,1.99,1.985025,40,40,hold_40,0.15178074084389387,-0.042612449519565374,3.561887254901979,1.0,0.030303030303030346,-1.0,-6.184943613649615,0.20547945205479445,-22.413775326140154,1.0,1.0,,,
300071.SZ,359,2022-10-17 15:00:00,3.09,3.096179999999999,,399,2022-12-12 15:00:00,4.09,4.079775,40,40,hold_40,0.3176801736333162,-0.08274066753224918,3.839468342571644,1.0,0.5778688524590164,1.0,2.688393282330117,0.26984126984126977,-7.276000795346205,0.0,1.0,0.05986389926942243,0.9780430669388692,0.20833333333333334
300071.SZ,611,2023-10-30 15:00:00,3.59,3.597179999999999,,651,2023-12-25 15:00:00,3.45,3.4413750000000003,40,40,hold_40,-0.0433130952579517,-0.049255249945790607,-0.8793599729089034,0.0,0.35700197238658776,1.0,-26.46833677825352,0.10294117647058815,-10.579675030866053,0.0,1.0,0.01374839654913724,0.67295419596984,0.3416666666666667
300071.SZ,685,2024-02-20 15:00:00,2.49,2.4949799999999995,,725,2024-04-18 15:00:00,2.49,2.4837750000000005,40,40,hold_40,-0.004491017964071465,-0.08215697119816573,-0.05466386964581447,0.0,0.023529411764705903,-1.0,-56.897883163768,0.25441696113074214,-36.23888653719952,0.0,1.0,-0.7124874616515319,0.36392258062866156,0.9833333333333333
300071.SZ,978,2025-05-08 15:00:00,5.2,5.210399999999999,,1018,2025-07-04 15:00:00,4.91,4.897725,40,40,hold_40,-0.060009788116075304,-0.11331183786273588,-0.5295985772357711,0.0,0.3902116402116402,1.0,-12.00318341326811,0.22222222222222232,-19.074011476374707,0.0,1.0,0.11499333951722635,0.8877166563099739,0.03333333333333333
300071.SZ,1001,2025-06-11 15:00:00,5.2,5.210399999999999,,1041,2025-08-06 15:00:00,5.32,5.3067,40,40,hold_40,0.018482266236757482,-0.11331183786273588,0.16310975609756326,1.0,0.40740740740740733,1.0,-9.055316343609752,0.22222222222222232,-11.831342885817236,0.0,1.0,0.267343679569015,0.9656269491637932,0.03333333333333333
300071.SZ,1033,2025-07-25 15:00:00,5.19,5.200379999999999,,1073,2025-09-19 15:00:00,4.55,4.538625,40,40,hold_40,-0.12725127779123824,-0.13275568323853246,-0.9585373272690403,0.0,0.4378306878306878,1.0,-3.982037134896062,0.2203389830508476,-3.8372983581214957,0.0,1.0,0.06160490022737401,1.0,0.041666666666666664
