symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
603901.SH,505,2023-05-23 15:00:00,14.79,14.819579999999997,14.27,508,2023-05-26 15:00:00,14.27,14.234325,3,40,stop_loss,-0.03949200989501704,-0.043157768303824874,-0.9150614465743134,0.0,0.38362573099415204,1.0,-2.2069873415358225,0.28909090909090907,-2.6960031605053647,0.0,1.0,0.009637593601714019,1.0,0.26666666666666666
603901.SH,615,2023-11-03 15:00:00,11.82,11.843639999999997,11.53,640,2023-12-08 15:00:00,11.53,11.501175,25,40,stop_loss,-0.02891551921537612,-0.02901472858006467,-0.9965807240135028,0.0,0.09813664596273283,-1.0,-23.2944967646756,0.25161290322580643,-3.734218705929862,0.0,1.0,0.07932801087723113,0.6701024475299066,0.5166666666666667
603901.SH,734,2024-05-06 15:00:00,8.59,8.607179999999998,8.39,743,2024-05-17 15:00:00,8.39,8.369025,9,40,stop_loss,-0.02766934117794647,-0.026394242946005207,-1.048309710361829,0.0,0.09826086956521739,-1.0,-22.41342156503269,0.2578849721706864,-5.487690332111187,0.0,1.0,0.15748365277948526,0.7838479126320999,0.5
603901.SH,834,2024-09-26 15:00:00,6.24,6.2524799999999985,5.96,874,2024-11-28 15:00:00,7.97,7.950075,40,40,hold_40,0.271507465837556,-0.000396642612211232,684.514112903645,1.0,0.0007680491551459812,-1.0,-36.107060134111386,0.11436541143654118,-3.2544453092188417,0.0,1.0,0.36689439309209604,0.9280490110654906,0.21666666666666667
