symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
002659.SZ,8,2021-05-06 15:00:00,4.08,4.088159999999999,4.05,9,2021-05-07 15:00:00,4.05,4.039875,1,40,stop_loss,-0.011810936949629914,-0.009334272631208057,-1.2653301886792354,0.0,0.30769230769230715,-1.0,-0.7836990595611258,0.15789473684210625,-5.072764277882367,0.0,1.0,,,
002659.SZ,75,2021-08-10 15:00:00,3.41,3.4168199999999995,3.25,80,2021-08-17 15:00:00,3.25,3.2418750000000003,5,40,stop_loss,-0.05120111682792751,-0.05174987268864012,-0.989395995928062,0.0,0.10948905109489072,-1.0,-22.032477805137216,0.2773722627737228,-7.498870282428218,0.0,1.0,0.3761289427672034,0.5654618941028188,0.8421052631578947
002659.SZ,616,2023-11-06 15:00:00,4.44,4.448879999999999,4.31,651,2023-12-25 15:00:00,4.31,4.299225,35,40,stop_loss,-0.033638803474132645,-0.03346460232687761,-1.0052055346587854,0.0,0.4661654135338344,1.0,-8.541694421085811,0.2559523809523812,-4.00666940563507,0.0,1.0,0.35812145554677216,0.9319376553980335,0.4666666666666667
