symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
603085.SH,239,2022-04-18 15:00:00,6.95,6.963899999999999,6.37,244,2022-04-25 15:00:00,6.37,6.354075000000001,5,40,stop_loss,-0.08756946538577495,-0.11831014230531732,-0.7401687097948765,0.0,0.08800000000000002,-1.0,-32.850454864054136,0.25333333333333335,-15.35178093530691,0.0,1.0,0.2498130200446594,1.0,0.15
603085.SH,523,2023-06-16 15:00:00,9.83,9.849659999999998,9.52,528,2023-06-27 15:00:00,9.52,9.4962,5,40,stop_loss,-0.0358855026467917,-0.03549970252780282,-1.0108677000514787,0.0,0.3835198372329603,1.0,-1.5466909684179135,0.22388059701492546,-5.232600639168312,0.0,1.0,0.0951006212134987,0.9220874883870758,0.21666666666666667
603085.SH,691,2024-02-28 15:00:00,7.3,7.314599999999998,7.21,731,2024-04-26 15:00:00,9.85,9.825375,40,40,hold_40,0.3432552702813554,-0.007464523008776694,45.98489010989183,1.0,0.11586638830897705,-1.0,-40.119091225631166,0.27910685805422647,-21.21547340706354,2.0,1.0,0.6947770827788593,0.5080631503697003,0.8583333333333333
603085.SH,798,2024-08-05 15:00:00,8.1,8.116199999999997,7.83,803,2024-08-12 15:00:00,7.83,7.810425,5,40,stop_loss,-0.03767465069860244,-0.03895911879943788,-0.9670303605313071,0.0,0.25887265135699367,-1.0,-19.885082511444327,0.24401913875598077,-12.606698618022156,3.0,1.0,0.35981188016934684,0.5713523196322086,0.25
603085.SH,970,2025-04-23 15:00:00,11.08,11.102159999999998,10.55,973,2025-04-28 15:00:00,10.55,10.523625000000001,3,40,stop_loss,-0.05211012992066382,-0.05153591733500495,-1.011141988255031,0.0,0.4264840182648403,1.0,-4.057246979754132,0.2988357050452782,-24.53342514388797,0.0,1.0,0.21734413520004056,0.7640088747391498,0.49166666666666664
