symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
603833.SH,378,2022-11-11 15:00:00,97.86,98.05571999999998,,418,2023-01-09 15:00:00,120.52,120.2187,40,40,hold_40,0.22602434615747072,0.011057794486645157,20.440273730032455,1.0,0.09684782608695648,-1.0,-26.717101310831982,0.22399362295735348,-5.713065318392633,0.0,1.0,0.26616232727189676,0.6190202855775336,0.9083333333333333
603833.SH,801,2024-08-08 15:00:00,49.3,49.39859999999999,,841,2024-10-14 15:00:00,58.58,58.433550000000004,40,40,hold_40,0.18289890806622086,-0.1896531480649247,0.9643863544179523,1.0,0.0033261138613861364,-1.0,-39.48139375252354,0.1948689956331878,-17.5520007808491,0.0,1.0,0.18510535328974012,0.9978823847121806,0.15833333333333333
603833.SH,831,2024-09-23 15:00:00,46.83,46.92365999999999,,871,2024-11-25 15:00:00,66.34,66.17415000000001,40,40,hold_40,0.41025124638615196,-0.025864563846894943,15.861518052832075,1.0,0.004963525607279812,-1.0,-39.01291356217884,0.1753933453701315,-8.399638155327192,0.0,1.0,0.15149003453537435,1.0,0.05
603833.SH,1023,2025-07-11 15:00:00,59.0,59.11799999999999,,1063,2025-09-05 15:00:00,56.24,56.0994,40,40,hold_40,-0.051060590683040454,-0.13224398660306494,-0.38610897927858634,0.0,0.4027848101265822,1.0,-5.102098758424796,0.2554900910551688,-4.824640613724946,0.0,1.0,0.28931140510206593,1.0,0.058333333333333334
603833.SH,1056,2025-08-27 15:00:00,54.74,54.84947999999999,,1096,2025-10-30 15:00:00,53.71,53.575725000000006,40,40,hold_40,-0.023222736113450614,-0.04830456004323086,-0.4807566012953455,0.0,0.339746835443038,1.0,-7.889934629106987,0.15925925925925943,-3.036721370023117,2.0,1.0,0.14863089111790062,0.7758071077981491,0.15833333333333333
