symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
688317.SH,10,2021-05-10 15:00:00,63.58,63.70715999999999,,50,2021-07-06 15:00:00,60.39,60.239025000000005,40,40,hold_40,-0.054438700453763485,-0.06164393452792413,-0.8831152792348654,0.0,0.2715334105832368,1.0,8.35606353329483,0.0128857239742284,-29.514751796737375,0.0,1.0,,,
688317.SH,68,2021-07-30 15:00:00,65.0,65.12999999999998,,108,2021-09-28 15:00:00,48.81,48.687975,40,40,hold_40,-0.25244933210502046,-0.25364655304775047,-0.9952799636803871,0.0,0.06781485468245416,-1.0,-35.06008593228744,0.25484391819160385,-12.014176637830282,0.0,1.0,0.5131180720565014,1.0,0.12
688317.SH,134,2021-11-10 15:00:00,50.77,50.87153999999999,,174,2022-01-06 15:00:00,51.03,50.902425,40,40,hold_40,0.0006071174570302383,-0.0324649106356912,0.018700727805570697,1.0,0.019739605207895795,-1.0,-46.69299524722073,0.19784796945505045,-18.07292679365447,0.0,1.0,0.444752495935477,1.0,0.21551724137931033
688317.SH,215,2022-03-11 15:00:00,45.76,45.85151999999999,,255,2022-05-13 15:00:00,37.5,37.40625,40,40,hold_40,-0.18418735082282964,-0.3454960707954718,-0.5331098278448024,0.0,0.10245539657304371,-1.0,-40.20093599786259,0.2304168575355015,-18.009025337571053,0.0,1.0,0.14877020661669169,1.0,0.6
688317.SH,260,2022-05-20 15:00:00,41.3,41.38259999999999,,300,2022-07-18 15:00:00,43.92,43.8102,40,40,hold_40,0.05866233634426095,-0.10590441393242547,0.5539177657098568,1.0,0.11949585194639438,-1.0,-36.29713383806059,0.22877406281661594,-5.025546647905479,0.0,1.0,0.6925393295913673,0.9886310515645766,0.6583333333333333
688317.SH,373,2022-11-04 15:00:00,38.41,38.48681999999999,,413,2022-12-30 15:00:00,33.4,33.3165,40,40,hold_40,-0.1343400156209318,-0.13476873381588794,-0.9968188601108191,0.0,0.08359923420548818,-1.0,-27.73920471841322,0.2563393268787458,-14.421257854575394,0.0,1.0,0.011469476651633916,0.8415650146203408,0.2
688317.SH,587,2023-09-18 15:00:00,23.25,23.296499999999995,,627,2023-11-21 15:00:00,23.35,23.291625000000003,40,40,hold_40,-0.00020925890155136197,-0.11832249479535537,-0.001768547070557341,0.0,0.012321478577429277,-1.0,-43.79694246019943,0.08530805687203795,-5.47603020864226,0.0,1.0,0.15013414876002482,0.9123362935252406,0.44166666666666665
688317.SH,611,2023-10-30 15:00:00,22.69,22.735379999999996,,651,2023-12-25 15:00:00,20.35,20.299125000000004,40,40,hold_40,-0.10715699495675869,-0.11371615517312654,-0.9423198910798392,0.0,0.0006994963626189244,-1.0,-44.371463129027745,0.0898078529657478,-2.7988545270928764,0.0,1.0,0.18734258489898278,0.611012011030249,0.6583333333333333
688317.SH,685,2024-02-20 15:00:00,16.0,16.031999999999996,,725,2024-04-18 15:00:00,14.36,14.3241,40,40,hold_40,-0.10653068862275432,-0.14234031936127725,-0.7484224364592461,0.0,0.005734675672231417,-1.0,-56.96269524596191,0.2979094076655053,-13.22233216797569,0.0,1.0,0.028530845147973497,0.3917906298316487,0.975
688317.SH,1145,2026-01-09 15:00:00,21.19,21.232379999999996,,1185,2026-03-16 15:00:00,19.93,19.880175,40,40,hold_40,-0.06368598338952085,-0.08064946087061349,-0.7896640932503285,0.0,0.4488468361916028,1.0,-7.406599850280964,0.1675025075225679,-11.558357962038746,0.0,1.0,0.15474330248986692,1.0,0.19166666666666668
