symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
300119.SZ,103,2021-09-17 15:00:00,25.35,25.400699999999997,22.71,121,2021-10-22 15:00:00,22.71,22.653225000000003,18,40,stop_loss,-0.10816532615242866,-0.10632384146893581,-1.0173195838116031,0.0,0.05594713656387664,-1.0,-43.063735101988634,0.16035242290748905,-9.412826568938655,0.0,1.0,0.08665091179740979,1.0,0.09411764705882353
300119.SZ,159,2021-12-15 15:00:00,23.62,23.667239999999996,22.59,163,2021-12-21 15:00:00,22.59,22.533525,4,40,stop_loss,-0.04790229025437674,-0.06114950454721368,-0.7833635057074138,0.0,0.1094073767094903,-1.0,-38.284974444519364,0.13841690841276422,-2.692189383000989,0.0,1.0,0.3002046978606472,1.0,0.025
300119.SZ,257,2022-05-17 15:00:00,17.27,17.304539999999996,16.24,262,2022-05-24 15:00:00,16.24,16.1994,5,40,stop_loss,-0.06386416512660813,-0.06845255638115749,-0.932969760413325,0.0,0.034136546184739006,-1.0,-52.586964665989896,0.24269264836138174,-14.220110976588355,0.0,1.0,0.12695764431900394,0.6589462824909044,0.9166666666666666
300119.SZ,280,2022-06-20 15:00:00,17.68,17.715359999999997,16.63,306,2022-07-26 15:00:00,16.63,16.588425,26,40,stop_loss,-0.06361344053973479,-0.06578246222487132,-0.9670273563534013,0.0,0.06994645247657302,-1.0,-46.78783640918098,0.27900797165633306,-3.25186066577533,0.0,1.0,0.5184572615616505,1.0,0.20833333333333334
300119.SZ,541,2023-07-14 15:00:00,18.48,18.516959999999997,18.12,558,2023-08-08 15:00:00,18.12,18.074700000000004,17,40,stop_loss,-0.023884050081654545,-0.03547882589798747,-0.6731916707257599,0.0,0.3788598574821852,1.0,-8.901610271717487,0.2512562814070352,-7.734125041321476,0.0,1.0,0.04068417660376776,1.0,0.175
300119.SZ,834,2024-09-26 15:00:00,12.73,12.755459999999998,11.98,874,2024-11-28 15:00:00,19.9,19.85025,40,40,hold_40,0.556215926356243,0.009763661992590093,56.967962100528496,1.0,0.006956521739130441,-1.0,-29.276910359313142,0.19973009446693663,-11.145913579877075,0.0,1.0,0.4805003513330253,1.0,0.31666666666666665
300119.SZ,1145,2026-01-09 15:00:00,19.9,19.939799999999995,19.43,1161,2026-02-02 15:00:00,19.43,19.381425,16,40,stop_loss,-0.028003039147834717,-0.046128847831974004,-0.6070613176777534,0.0,0.42606232294617563,1.0,-9.199177418107302,0.23234200743494413,-3.4717506670588953,0.0,1.0,0.04951010074544477,1.0,0.13333333333333333
