symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
002142.SZ,85,2021-08-16 15:00:00,34.54,34.60907999999999,33.93,92,2021-08-25 15:00:00,33.93,33.845175000000005,7,40,stop_loss,-0.022072386784045897,-0.02684497825426137,-0.8222166013690895,0.0,0.04061302681992346,-1.0,-23.639201597143895,0.2505747126436781,-6.293262240150694,3.0,1.0,0.023533141752472318,0.5512703860225506,0.6417910447761194
002142.SZ,106,2021-09-14 15:00:00,34.68,34.74935999999999,34.6,107,2021-09-15 15:00:00,34.6,34.5135,1,40,stop_loss,-0.006787463136011376,-0.029046865899112588,-0.2336728223824912,0.0,0.27573253193087893,-1.0,-13.833184188811899,0.27573253193087893,-2.5327263045380315,2.0,1.0,0.3346547347436432,0.5449039448572691,0.48863636363636365
002142.SZ,517,2023-06-08 15:00:00,26.85,26.903699999999997,26.29,522,2023-06-15 15:00:00,26.29,26.224275000000002,5,40,stop_loss,-0.025253961351040747,-0.025784557514393795,-0.979421940320021,0.0,0.11347175277643656,-1.0,-14.967508150065031,0.226833976833977,-2.384014176752485,0.0,1.0,0.06279678849663022,0.7084239302274569,0.6583333333333333
002142.SZ,831,2024-09-23 15:00:00,19.86,19.899719999999995,18.75,871,2024-11-25 15:00:00,24.14,24.07965,40,40,hold_40,0.2100496891413551,0.001521629450062853,138.0426023777857,1.0,0.0,-1.0,-20.21334560959385,0.19559585492227957,-4.565652332036932,0.0,1.0,-0.3166569677080914,0.5760330063780164,0.7666666666666667
002142.SZ,905,2025-01-13 15:00:00,24.63,24.679259999999992,24.11,930,2025-02-25 15:00:00,24.11,24.049725000000002,25,40,stop_loss,-0.025508665981070346,-0.03481708932925834,-0.732647859786323,0.0,0.5372983870967741,1.0,6.259301444337523,0.24324324324324292,-4.219937513917765,3.0,1.0,0.23371336920571067,0.6638897680342151,0.4166666666666667
