symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
600266.SH,8,2021-05-06 15:00:00,4.79,4.799579999999999,,48,2021-07-02 15:00:00,4.7,4.68825,40,40,hold_40,-0.023195779630717447,-0.020747648752598914,-1.1179955814420597,0.0,0.20000000000000118,-1.0,-0.6072874493927175,0.14285714285714285,-3.248490892121729,0.0,1.0,,,
600266.SH,88,2021-08-27 15:00:00,4.44,4.448879999999999,,128,2021-11-02 15:00:00,4.3,4.28925,40,40,hold_40,-0.03588094082106037,-0.037960115804426924,-0.9452273803884425,0.0,0.2831858407079641,-1.0,-13.693407538746557,0.29203539823008856,-6.3138817076020235,0.0,1.0,0.01682292093509714,0.698514284374412,0.24285714285714285
600266.SH,162,2021-12-20 15:00:00,4.47,4.478939999999999,,202,2022-02-22 15:00:00,4.63,4.618425,40,40,hold_40,0.031142413160256992,-0.042184088199439786,0.7382502381708601,1.0,0.19199999999999945,1.0,-1.6042117594723917,0.23931623931623877,-9.73163861835947,0.0,1.0,0.24805541974875725,1.0,0.05
600266.SH,306,2022-07-26 15:00:00,4.03,4.03806,,346,2022-09-21 15:00:00,4.08,4.0698,40,40,hold_40,0.007860210100890056,-0.0639069256028885,0.12299465240641752,1.0,0.010000000000000009,-1.0,-30.405320390575785,0.16000000000000014,-12.175783325441866,0.0,1.0,0.15475690693573624,0.7903277648286002,0.30833333333333335
600266.SH,674,2024-01-26 15:00:00,4.67,4.679339999999999,,714,2024-04-01 15:00:00,4.04,4.0299000000000005,40,40,hold_40,-0.1387888035492182,-0.26699064397970634,-0.5198264683753014,0.0,0.024570024570024485,-1.0,-43.86976907151477,0.16083916083916086,-12.927642392026225,0.0,1.0,-0.6378506510734263,0.6773268139632787,0.5083333333333333
600266.SH,733,2024-04-30 15:00:00,3.94,3.947879999999999,,773,2024-07-01 15:00:00,4.11,4.099725,40,40,hold_40,0.038462415270981175,-0.0577221192133497,0.6663375460768906,1.0,0.020661157024793316,-1.0,-47.6166508418851,0.10537190082644624,-3.364075489080308,1.0,1.0,0.6438364626151422,0.7821500782024366,0.65
600266.SH,804,2024-08-13 15:00:00,4.26,4.268519999999999,,844,2024-10-17 15:00:00,5.47,5.456325,40,40,hold_40,0.278270922942847,-0.09804803538462951,2.8381080951925948,1.0,0.08057851239669415,-1.0,-34.081409428825275,0.2843601895734596,-9.548013982595009,2.0,1.0,0.3413240412038745,0.7440557378484015,0.65
600266.SH,931,2025-02-26 15:00:00,5.2,5.210399999999999,,971,2025-04-24 15:00:00,5.03,5.017425,40,40,hold_40,-0.037036503915246204,-0.19967756794104086,-0.18548154555939922,0.0,0.4211956521739131,1.0,8.22078286941642,0.2568093385214008,-4.560621911288246,0.0,1.0,0.20451404141078494,1.0,0.23333333333333334
600266.SH,966,2025-04-17 15:00:00,4.85,4.859699999999998,,1006,2025-06-18 15:00:00,4.45,4.438875,40,40,hold_40,-0.08659485153404493,-0.12751815955717397,-0.6790785864127793,0.0,0.326086956521739,1.0,-0.12278095464738313,0.2312925170068026,-2.9749539604964683,0.0,1.0,0.5095441880662565,0.798765063854997,0.5
