symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
600162.SH,378,2022-11-11 15:00:00,1.86,1.8637199999999996,1.75,418,2023-01-09 15:00:00,1.84,1.8354000000000001,40,40,hold_40,-0.01519541562037187,-0.018092846564934397,-0.8398576512455472,0.0,0.0789473684210527,-1.0,-31.66473707164881,0.18421052631578963,-3.4049599429811845,0.0,1.0,0.4351176794454291,1.0,0.6166666666666667
600162.SH,674,2024-01-26 15:00:00,1.82,1.8236399999999997,1.69,677,2024-01-31 15:00:00,1.69,1.685775,3,40,stop_loss,-0.07559880239520941,-0.10069969950209462,-0.7507351339577424,0.0,0.032967032967033,-1.0,-31.64355567603938,0.25000000000000006,-6.222959968664752,0.0,1.0,-0.32961431359911675,0.9163466461385426,0.6416666666666667
600162.SH,706,2024-03-20 15:00:00,1.58,1.5831599999999997,1.55,708,2024-03-22 15:00:00,1.55,1.5461250000000002,2,40,stop_loss,-0.023393087243234727,-0.03357841279466362,-0.6966704288939001,0.0,0.17829457364341086,-1.0,-37.3120985580981,0.2325581395348838,-5.330761041962565,0.0,1.0,0.06774656804553877,0.7925716583622834,0.31666666666666665
600162.SH,731,2024-04-26 15:00:00,1.52,1.5230399999999997,1.47,758,2024-06-07 15:00:00,1.47,1.466325,27,40,stop_loss,-0.03723802395209557,-0.06108834961655624,-0.6095765262252768,0.0,0.08527131782945728,-1.0,-41.20887445028826,0.186046511627907,-3.403786062745244,0.0,1.0,0.33062149231732957,0.6422874897624761,0.8083333333333333
600162.SH,967,2025-04-18 15:00:00,1.77,1.7735399999999997,1.66,974,2025-04-29 15:00:00,1.66,1.65585,7,40,stop_loss,-0.06635880780811239,-0.06401885494547616,-1.0365509952439658,0.0,0.3389830508474575,1.0,-10.29412964878342,0.29896907216494845,-5.847383448600702,0.0,1.0,0.034450184496938346,0.6948372611289922,0.39166666666666666
