symbol,entry_idx,entry_time,entry_price_raw,entry_price,stop_price,exit_idx,exit_time,exit_price_raw,exit_price,hold_bars,planned_hold_bars,exit_reason,ret,mae,rr,win,w_dsa_pivot_pos_01,w_DSA_DIR,w_signed_vwap_dev_pct,dsa_pivot_pos_01,signed_vwap_dev_pct,bars_since_dir_change,rope_dir,rope_slope_atr_5,bb_pos_01,bb_width_percentile
301157.SZ,6,2023-03-17 15:00:00,61.02,61.14203999999999,60.44,7,2023-03-20 15:00:00,60.44,60.2889,1,40,stop_loss,-0.013953410779227996,-0.04321151207908647,-0.3229095698778191,0.0,0.011744966442952674,-1.0,-7.4577139928242016,0.032182366744887725,-25.532583175897226,0.0,1.0,,,
301157.SZ,60,2023-06-07 15:00:00,56.22,56.332439999999984,52.09,91,2023-07-24 15:00:00,52.09,51.95977500000001,31,40,stop_loss,-0.07762250312608468,-0.09395012891328666,-0.8262096499913063,0.0,0.15639165911151404,-1.0,-28.598965057294336,0.23685403445149583,-16.914787164840497,1.0,1.0,0.6655551433973025,0.8410538745211001,0.5238095238095238
301157.SZ,218,2024-01-26 15:00:00,43.25,43.336499999999994,40.0,220,2024-01-30 15:00:00,40.0,39.900000000000006,2,40,stop_loss,-0.07929805129625117,-0.21244216768774574,-0.37326888611307135,0.0,0.031450203843913754,-1.0,-38.69293905330553,0.18301390454716268,-3.959506213291162,3.0,1.0,0.18663322454487516,0.6749601873416771,0.6
301157.SZ,274,2024-04-25 15:00:00,34.29,34.35857999999999,31.0,301,2024-06-06 15:00:00,31.0,30.922500000000003,27,40,stop_loss,-0.1000064612681894,-0.13063927554631158,-0.7655160429356266,0.0,0.1304806388428507,-1.0,-43.003675696518386,0.25970581142994936,-4.3942985339033145,0.0,1.0,0.29527491480883855,0.6500712349881687,0.7416666666666667
